anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	primary_SU_T1	0	ATM	0	primary	87
1	LN_SU_FLN1	0	ATM	1	metastasis	87
0	primary_SU_T1	1	PIK3CA;KMT2B	1	primary	42
1	LN_SU_FLN1	1	PIK3CA;KMT2B	0	metastasis	42
0	primary_SU_T1	2	TNN;RGS2	1	primary	26
1	LN_SU_FLN1	2	TNN;RGS2	0	metastasis	26
0	primary_SU_T1	3	CYLD	1	primary	21
1	LN_SU_FLN1	3	CYLD	0	metastasis	21
0	primary_SU_T1	4	JAK3	1	primary	20
1	LN_SU_FLN1	4	JAK3	0	metastasis	20
0	primary_SU_T1	5	SZT2;PLXNA2	1	primary	19
1	LN_SU_FLN1	5	SZT2;PLXNA2	0	metastasis	19
0	primary_SU_T1	6	CAD;FAM161A	1	primary	18
1	LN_SU_FLN1	6	CAD;FAM161A	0	metastasis	18
0	primary_SU_T1	7	MUC6	1	primary	18
1	LN_SU_FLN1	7	MUC6	0	metastasis	18
0	primary_SU_T1	8	COL5A1	1	primary	16
1	LN_SU_FLN1	8	COL5A1	0	metastasis	16
0	primary_SU_T1	9	PLCH2;LRRIQ3	1	primary	16
1	LN_SU_FLN1	9	PLCH2;LRRIQ3	0	metastasis	16
0	primary_SU_T1	10	SMC3	1	primary	11
1	LN_SU_FLN1	10	SMC3	0	metastasis	11
0	primary_SU_T1	11	NUAK2;MCCC1	0	primary	10
1	LN_SU_FLN1	11	NUAK2;MCCC1	1	metastasis	10
0	primary_SU_T1	12	PDPN;SLC9C2	1	primary	9
1	LN_SU_FLN1	12	PDPN;SLC9C2	0	metastasis	9
0	primary_SU_T1	13	GJA9;ANKRD44	1	primary	9
1	LN_SU_FLN1	13	GJA9;ANKRD44	0	metastasis	9
0	primary_SU_T1	14	RNF43	1	primary	8
1	LN_SU_FLN1	14	RNF43	0	metastasis	8
0	primary_SU_T1	15	PAX5	1	primary	7
1	LN_SU_FLN1	15	PAX5	0	metastasis	7
