anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	primary_SU_T1	0	SPTAN1;SETD2	0	primary	58
1	LN_SU_FLN1	0	SPTAN1;SETD2	0	metastasis	58
2	metachronousMet_BR_LN1	0	SPTAN1;SETD2	0	metastasis	58
3	metachronousMet_BR_LN2	0	SPTAN1;SETD2	0	metastasis	58
4	metachronousMet_BR_LN3	0	SPTAN1;SETD2	0	metastasis	58
0	primary_SU_T1	1	SMARCA4	1	primary	35
1	LN_SU_FLN1	1	SMARCA4	0	metastasis	35
2	metachronousMet_BR_LN1	1	SMARCA4	0	metastasis	35
3	metachronousMet_BR_LN2	1	SMARCA4	0	metastasis	35
4	metachronousMet_BR_LN3	1	SMARCA4	0	metastasis	35
0	primary_SU_T1	2	PDGFRA	1	primary	12
1	LN_SU_FLN1	2	PDGFRA	0	metastasis	12
2	metachronousMet_BR_LN1	2	PDGFRA	0	metastasis	12
3	metachronousMet_BR_LN2	2	PDGFRA	0	metastasis	12
4	metachronousMet_BR_LN3	2	PDGFRA	0	metastasis	12
0	primary_SU_T1	3	ATP10D;C1QTNF2	1	primary	11
1	LN_SU_FLN1	3	ATP10D;C1QTNF2	0	metastasis	11
2	metachronousMet_BR_LN1	3	ATP10D;C1QTNF2	0	metastasis	11
3	metachronousMet_BR_LN2	3	ATP10D;C1QTNF2	0	metastasis	11
4	metachronousMet_BR_LN3	3	ATP10D;C1QTNF2	0	metastasis	11
0	primary_SU_T1	4	SULT1C3;PRKRA	0	primary	11
1	LN_SU_FLN1	4	SULT1C3;PRKRA	1	metastasis	11
2	metachronousMet_BR_LN1	4	SULT1C3;PRKRA	0	metastasis	11
3	metachronousMet_BR_LN2	4	SULT1C3;PRKRA	0	metastasis	11
4	metachronousMet_BR_LN3	4	SULT1C3;PRKRA	0	metastasis	11
0	primary_SU_T1	5	OLFML2B;ASPM	0	primary	9
1	LN_SU_FLN1	5	OLFML2B;ASPM	0	metastasis	9
2	metachronousMet_BR_LN1	5	OLFML2B;ASPM	0	metastasis	9
3	metachronousMet_BR_LN2	5	OLFML2B;ASPM	0	metastasis	9
4	metachronousMet_BR_LN3	5	OLFML2B;ASPM	1	metastasis	9
0	primary_SU_T1	6	BPNT1;NAALADL2	1	primary	9
1	LN_SU_FLN1	6	BPNT1;NAALADL2	0	metastasis	9
2	metachronousMet_BR_LN1	6	BPNT1;NAALADL2	0	metastasis	9
3	metachronousMet_BR_LN2	6	BPNT1;NAALADL2	0	metastasis	9
4	metachronousMet_BR_LN3	6	BPNT1;NAALADL2	0	metastasis	9
0	primary_SU_T1	7	NAT16;GLE1	0	primary	9
1	LN_SU_FLN1	7	NAT16;GLE1	0	metastasis	9
2	metachronousMet_BR_LN1	7	NAT16;GLE1	1	metastasis	9
3	metachronousMet_BR_LN2	7	NAT16;GLE1	0	metastasis	9
4	metachronousMet_BR_LN3	7	NAT16;GLE1	0	metastasis	9
0	primary_SU_T1	8	MORC1;3	0	primary	9
1	LN_SU_FLN1	8	MORC1;3	0	metastasis	9
2	metachronousMet_BR_LN1	8	MORC1;3	0	metastasis	9
3	metachronousMet_BR_LN2	8	MORC1;3	0	metastasis	9
4	metachronousMet_BR_LN3	8	MORC1;3	0	metastasis	9
0	primary_SU_T1	9	INADL;TSPO2	1	primary	8
1	LN_SU_FLN1	9	INADL;TSPO2	0	metastasis	8
2	metachronousMet_BR_LN1	9	INADL;TSPO2	0	metastasis	8
3	metachronousMet_BR_LN2	9	INADL;TSPO2	0	metastasis	8
4	metachronousMet_BR_LN3	9	INADL;TSPO2	0	metastasis	8
0	primary_SU_T1	10	SPTA1	0	primary	7
1	LN_SU_FLN1	10	SPTA1	0	metastasis	7
2	metachronousMet_BR_LN1	10	SPTA1	0	metastasis	7
3	metachronousMet_BR_LN2	10	SPTA1	1	metastasis	7
4	metachronousMet_BR_LN3	10	SPTA1	0	metastasis	7
0	primary_SU_T1	11	PRIM2;PNISR	0	primary	6
1	LN_SU_FLN1	11	PRIM2;PNISR	0	metastasis	6
2	metachronousMet_BR_LN1	11	PRIM2;PNISR	1	metastasis	6
3	metachronousMet_BR_LN2	11	PRIM2;PNISR	0	metastasis	6
4	metachronousMet_BR_LN3	11	PRIM2;PNISR	0	metastasis	6
0	primary_SU_T1	12	KIF1A	0	primary	5
1	LN_SU_FLN1	12	KIF1A	1	metastasis	5
2	metachronousMet_BR_LN1	12	KIF1A	1	metastasis	5
3	metachronousMet_BR_LN2	12	KIF1A	0	metastasis	5
4	metachronousMet_BR_LN3	12	KIF1A	0	metastasis	5
0	primary_SU_T1	13	GLS;ADAMTS2	0	primary	5
1	LN_SU_FLN1	13	GLS;ADAMTS2	0	metastasis	5
2	metachronousMet_BR_LN1	13	GLS;ADAMTS2	0	metastasis	5
3	metachronousMet_BR_LN2	13	GLS;ADAMTS2	0	metastasis	5
4	metachronousMet_BR_LN3	13	GLS;ADAMTS2	1	metastasis	5
0	primary_SU_T1	14	OTUD7B;BVES-AS1	0	primary	5
1	LN_SU_FLN1	14	OTUD7B;BVES-AS1	0	metastasis	5
2	metachronousMet_BR_LN1	14	OTUD7B;BVES-AS1	0	metastasis	5
3	metachronousMet_BR_LN2	14	OTUD7B;BVES-AS1	0	metastasis	5
4	metachronousMet_BR_LN3	14	OTUD7B;BVES-AS1	1	metastasis	5
