anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	primary_SU_T1	0	PDGFRA;TP53	0	primary	408
1	metachronousMet_BR_T1.FR2	0	PDGFRA;TP53	0	metastasis	408
2	metachronousMet_BR_T1.FR1	0	PDGFRA;TP53	0	metastasis	408
3	metachronousMet_BR_T3.FR1	0	PDGFRA;TP53	0	metastasis	408
4	LN_SU_FLN1	0	PDGFRA;TP53	0	metastasis	408
0	primary_SU_T1	1	CIC;ATXN3	0	primary	94
1	metachronousMet_BR_T1.FR2	1	CIC;ATXN3	0	metastasis	94
2	metachronousMet_BR_T1.FR1	1	CIC;ATXN3	0	metastasis	94
3	metachronousMet_BR_T3.FR1	1	CIC;ATXN3	1	metastasis	94
4	LN_SU_FLN1	1	CIC;ATXN3	0	metastasis	94
0	primary_SU_T1	2	SMARCA4	0	primary	71
1	metachronousMet_BR_T1.FR2	2	SMARCA4	0	metastasis	71
2	metachronousMet_BR_T1.FR1	2	SMARCA4	0	metastasis	71
3	metachronousMet_BR_T3.FR1	2	SMARCA4	1	metastasis	71
4	LN_SU_FLN1	2	SMARCA4	0	metastasis	71
0	primary_SU_T1	3	POU2F1;PTPRG	1	primary	20
1	metachronousMet_BR_T1.FR2	3	POU2F1;PTPRG	0	metastasis	20
2	metachronousMet_BR_T1.FR1	3	POU2F1;PTPRG	0	metastasis	20
3	metachronousMet_BR_T3.FR1	3	POU2F1;PTPRG	0	metastasis	20
4	LN_SU_FLN1	3	POU2F1;PTPRG	0	metastasis	20
0	primary_SU_T1	4	C1orf94;EXTL2	1	primary	19
1	metachronousMet_BR_T1.FR2	4	C1orf94;EXTL2	0	metastasis	19
2	metachronousMet_BR_T1.FR1	4	C1orf94;EXTL2	0	metastasis	19
3	metachronousMet_BR_T3.FR1	4	C1orf94;EXTL2	0	metastasis	19
4	LN_SU_FLN1	4	C1orf94;EXTL2	0	metastasis	19
0	primary_SU_T1	5	CTNNA2;ADCY5	0	primary	19
1	metachronousMet_BR_T1.FR2	5	CTNNA2;ADCY5	1	metastasis	19
2	metachronousMet_BR_T1.FR1	5	CTNNA2;ADCY5	0	metastasis	19
3	metachronousMet_BR_T3.FR1	5	CTNNA2;ADCY5	0	metastasis	19
4	LN_SU_FLN1	5	CTNNA2;ADCY5	0	metastasis	19
0	primary_SU_T1	6	PLCG1	1	primary	16
1	metachronousMet_BR_T1.FR2	6	PLCG1	0	metastasis	16
2	metachronousMet_BR_T1.FR1	6	PLCG1	0	metastasis	16
3	metachronousMet_BR_T3.FR1	6	PLCG1	0	metastasis	16
4	LN_SU_FLN1	6	PLCG1	0	metastasis	16
0	primary_SU_T1	7	MGA	1	primary	16
1	metachronousMet_BR_T1.FR2	7	MGA	0	metastasis	16
2	metachronousMet_BR_T1.FR1	7	MGA	0	metastasis	16
3	metachronousMet_BR_T3.FR1	7	MGA	0	metastasis	16
4	LN_SU_FLN1	7	MGA	0	metastasis	16
0	primary_SU_T1	8	C1orf116;B3GNT7	0	primary	15
1	metachronousMet_BR_T1.FR2	8	C1orf116;B3GNT7	0	metastasis	15
2	metachronousMet_BR_T1.FR1	8	C1orf116;B3GNT7	1	metastasis	15
3	metachronousMet_BR_T3.FR1	8	C1orf116;B3GNT7	0	metastasis	15
4	LN_SU_FLN1	8	C1orf116;B3GNT7	0	metastasis	15
0	primary_SU_T1	9	PTPN14;GPR128	1	primary	15
1	metachronousMet_BR_T1.FR2	9	PTPN14;GPR128	0	metastasis	15
2	metachronousMet_BR_T1.FR1	9	PTPN14;GPR128	0	metastasis	15
3	metachronousMet_BR_T3.FR1	9	PTPN14;GPR128	0	metastasis	15
4	LN_SU_FLN1	9	PTPN14;GPR128	0	metastasis	15
0	primary_SU_T1	10	TNR;CCRL2	0	primary	10
1	metachronousMet_BR_T1.FR2	10	TNR;CCRL2	0	metastasis	10
2	metachronousMet_BR_T1.FR1	10	TNR;CCRL2	0	metastasis	10
3	metachronousMet_BR_T3.FR1	10	TNR;CCRL2	1	metastasis	10
4	LN_SU_FLN1	10	TNR;CCRL2	0	metastasis	10
0	primary_SU_T1	11	MORN1;ASTN1	0	primary	9
1	metachronousMet_BR_T1.FR2	11	MORN1;ASTN1	0	metastasis	9
2	metachronousMet_BR_T1.FR1	11	MORN1;ASTN1	0	metastasis	9
3	metachronousMet_BR_T3.FR1	11	MORN1;ASTN1	1	metastasis	9
4	LN_SU_FLN1	11	MORN1;ASTN1	0	metastasis	9
0	primary_SU_T1	12	STIL;SNTG2	0	primary	9
1	metachronousMet_BR_T1.FR2	12	STIL;SNTG2	1	metastasis	9
2	metachronousMet_BR_T1.FR1	12	STIL;SNTG2	0	metastasis	9
3	metachronousMet_BR_T3.FR1	12	STIL;SNTG2	0	metastasis	9
4	LN_SU_FLN1	12	STIL;SNTG2	0	metastasis	9
0	primary_SU_T1	13	TMCC1;SYNE1	0	primary	7
1	metachronousMet_BR_T1.FR2	13	TMCC1;SYNE1	0	metastasis	7
2	metachronousMet_BR_T1.FR1	13	TMCC1;SYNE1	0	metastasis	7
3	metachronousMet_BR_T3.FR1	13	TMCC1;SYNE1	0	metastasis	7
4	LN_SU_FLN1	13	TMCC1;SYNE1	1	metastasis	7
0	primary_SU_T1	14	ARID2;LATS2	1	primary	6
1	metachronousMet_BR_T1.FR2	14	ARID2;LATS2	0	metastasis	6
2	metachronousMet_BR_T1.FR1	14	ARID2;LATS2	0	metastasis	6
3	metachronousMet_BR_T3.FR1	14	ARID2;LATS2	0	metastasis	6
4	LN_SU_FLN1	14	ARID2;LATS2	0	metastasis	6
0	primary_SU_T1	15	TCEB3;PRKD3	1	primary	6
1	metachronousMet_BR_T1.FR2	15	TCEB3;PRKD3	0	metastasis	6
2	metachronousMet_BR_T1.FR1	15	TCEB3;PRKD3	0	metastasis	6
3	metachronousMet_BR_T3.FR1	15	TCEB3;PRKD3	0	metastasis	6
4	LN_SU_FLN1	15	TCEB3;PRKD3	0	metastasis	6
0	primary_SU_T1	16	KMT2A	0	primary	6
1	metachronousMet_BR_T1.FR2	16	KMT2A	0	metastasis	6
2	metachronousMet_BR_T1.FR1	16	KMT2A	0	metastasis	6
3	metachronousMet_BR_T3.FR1	16	KMT2A	0	metastasis	6
4	LN_SU_FLN1	16	KMT2A	1	metastasis	6
0	primary_SU_T1	17	GLI3;WDR37	1	primary	5
1	metachronousMet_BR_T1.FR2	17	GLI3;WDR37	0	metastasis	5
2	metachronousMet_BR_T1.FR1	17	GLI3;WDR37	0	metastasis	5
3	metachronousMet_BR_T3.FR1	17	GLI3;WDR37	0	metastasis	5
4	LN_SU_FLN1	17	GLI3;WDR37	1	metastasis	5
0	primary_SU_T1	18	CHRNB2;ZBTB11	0	primary	5
1	metachronousMet_BR_T1.FR2	18	CHRNB2;ZBTB11	1	metastasis	5
2	metachronousMet_BR_T1.FR1	18	CHRNB2;ZBTB11	1	metastasis	5
3	metachronousMet_BR_T3.FR1	18	CHRNB2;ZBTB11	0	metastasis	5
4	LN_SU_FLN1	18	CHRNB2;ZBTB11	0	metastasis	5
