sample_id	cluster_id	size	mean	std
adnexa_site_1	0	91	0.9990578480704995	0.0031625428422006837
right_ovary_site_1	0	91	0.9982086545181508	0.004427244260070279
right_ovary_site_2	0	91	0.9979539310341865	0.004760368505956761
omentum_site_1	0	91	0.9897497175536752	0.012343121117236787
adnexa_site_1	1	10	0.939477229293672	0.043089322889237856
right_ovary_site_1	1	10	0.7256087349862715	0.05436242161847477
right_ovary_site_2	1	10	0.9294145424775744	0.05160227980514721
omentum_site_1	1	10	0.3190898064311457	0.06328421811604922
adnexa_site_1	2	16	0.010073764039244489	0.0008963051544836682
right_ovary_site_1	2	16	0.5949001034022037	0.05128995829673674
right_ovary_site_2	2	16	0.8749419957151812	0.13106881264368103
omentum_site_1	2	16	0.4876671624283215	0.05135756222926831
adnexa_site_1	3	23	0.8607520528996294	0.0327542350696663
right_ovary_site_1	3	23	2.322983858888864e-06	0.00015239567913781594
right_ovary_site_2	3	23	0.0007949489626049847	0.0027050974056301697
omentum_site_1	3	23	0.002012447499618379	0.004009393834696621
adnexa_site_1	4	10	0.9389206530388178	0.05695085235586863
right_ovary_site_1	4	10	0.0002320141926811291	0.0015061569550564593
right_ovary_site_2	4	10	0.0020170147970445746	0.004020799068090872
omentum_site_1	4	10	0.5442190954679178	0.057195988896956346
adnexa_site_1	5	13	3.5886271164071674e-06	0.00018940836701699445
right_ovary_site_1	5	13	0.6373449653827575	0.055720850694478984
right_ovary_site_2	5	13	0.0007284970753161418	0.002599436703590981
omentum_site_1	5	13	6.542261778260084e-05	0.000806376888602692
adnexa_site_1	6	5	0.8784077186815495	0.06749847253878596
right_ovary_site_1	6	5	0.9112744293532314	0.060960131356249045
right_ovary_site_2	6	5	0.9534253146373324	0.04245190562481225
omentum_site_1	6	5	0.5801433495351196	0.07908903710336782
adnexa_site_1	7	1	0.6392729997799956	0.26777899659094007
right_ovary_site_1	7	1	0.2766992121157122	0.13802506799828185
right_ovary_site_2	7	1	0.6275661141441858	0.2701781221821514
omentum_site_1	7	1	0.39050945255042196	0.19537579567294355
adnexa_site_1	8	5	0.008716589277219114	0.004389459391500926
right_ovary_site_1	8	5	0.19966503648453937	0.03792177241201242
right_ovary_site_2	8	5	0.006847759854002249	0.005362524532557504
omentum_site_1	8	5	0.43112163434457335	0.06192832230065785
adnexa_site_1	9	15	5.0046079453090654e-08	2.237093051285171e-05
right_ovary_site_1	9	15	1.4175676098638217e-07	3.765035068018972e-05
right_ovary_site_2	9	15	0.49480364254635095	0.045652926008088214
omentum_site_1	9	15	1.304458188036863e-05	0.00036094433303585923
adnexa_site_1	10	1	0.4734169927981313	0.31640395649535613
right_ovary_site_1	10	1	0.4712533621143126	0.3275285713912565
right_ovary_site_2	10	1	0.450670312926978	0.32579126010294873
omentum_site_1	10	1	0.22786781334761996	0.1935541168756034
adnexa_site_1	11	6	0.11749531430158447	0.027574969710673115
right_ovary_site_1	11	6	0.24996926564123828	0.054267170295963056
right_ovary_site_2	11	6	0.05570826927276204	0.01804222916865657
omentum_site_1	11	6	0.36944633428695495	0.06172642134640031
adnexa_site_1	12	1	0.4080994051827853	0.29007576020290704
right_ovary_site_1	12	1	0.3537130297167699	0.27837862436084376
right_ovary_site_2	12	1	0.3089274406647226	0.26538150205896377
omentum_site_1	12	1	0.5000000000000003	0.2915475947422644
adnexa_site_1	13	1	0.6873779202198231	0.10298327647304634
right_ovary_site_1	13	1	0.7242646582466351	0.20895093539461937
right_ovary_site_2	13	1	0.6819940850865717	0.20372016597441409
omentum_site_1	13	1	0.5439739557368416	0.18846249620400696
adnexa_site_1	14	2	0.26879526193653774	0.05226569188384348
right_ovary_site_1	14	2	0.7097489908945019	0.20847020094012816
right_ovary_site_2	14	2	0.6385369718805564	0.15941524434051002
omentum_site_1	14	2	0.6886911878075891	0.20187341687463986
adnexa_site_1	15	11	3.2338945533449026e-07	5.686672058807835e-05
right_ovary_site_1	15	11	2.2122672336517378e-05	0.00046985777373050806
right_ovary_site_2	15	11	2.2403880692446367e-05	0.00047284460857328545
omentum_site_1	15	11	0.10336251084957448	0.01577329287045279
adnexa_site_1	16	1	0.6141662312093317	0.25031623685973226
right_ovary_site_1	16	1	0.5000000000000003	0.2915475947422644
right_ovary_site_2	16	1	0.47397192466635707	0.2908879230306341
omentum_site_1	16	1	0.46109550680143213	0.29012512757372555
adnexa_site_1	17	1	0.6870719869437188	0.10645776813505937
right_ovary_site_1	17	1	0.6582718514172314	0.1379142044441056
right_ovary_site_2	17	1	0.6834900420595558	0.11544654889039785
omentum_site_1	17	1	0.7113626499834231	0.1403507402698983
adnexa_site_1	18	1	0.14513720978246178	0.0703105033638661
right_ovary_site_1	18	1	0.22874144538111035	0.09776522741385092
right_ovary_site_2	18	1	0.06259040474248732	0.03945656091109271
omentum_site_1	18	1	0.02529171890987171	0.02206120171382164
adnexa_site_1	19	1	0.47211403320173373	0.23855093102931677
right_ovary_site_1	19	1	0.5995691785284762	0.28256341201068175
right_ovary_site_2	19	1	0.5690884887294082	0.2690650529379428
omentum_site_1	19	1	0.478053992952202	0.24280964155420073
adnexa_site_1	20	1	0.5380928625888765	0.17769551489445956
right_ovary_site_1	20	1	0.7365630641891014	0.21230845431241413
right_ovary_site_2	20	1	0.6611183214412858	0.16632251095989178
omentum_site_1	20	1	0.5524484562195433	0.13044383529888956
adnexa_site_1	21	1	0.5000000000000003	0.2915475947422644
right_ovary_site_1	21	1	0.5000000000000003	0.2915475947422644
right_ovary_site_2	21	1	0.5000000000000003	0.2915475947422644
omentum_site_1	21	1	0.5000000000000003	0.2915475947422644
adnexa_site_1	22	1	0.703411658983285	0.20574987359442917
right_ovary_site_1	22	1	0.5647641036849916	0.20098917660197096
right_ovary_site_2	22	1	0.6453746903038395	0.2130430559228889
omentum_site_1	22	1	0.610963195176406	0.21082397010677908
