# 16 out of 16 mutations
2160 #trees
15 #edges, tree 1
10;15;21;27 47;48
10;15;21;27 41
22;24;25 32;33;38
12 19;23;26;35
5;8;9 34
5;8;9 13;20
5;8;9 12
5;8;9 11
2;3;4;6;7 28
2;3;4;6;7 10;15;21;27
2;3;4;6;7 22;24;25
2;3;4;6;7 16
0;1 31
0;1 5;8;9
0;1 2;3;4;6;7
15 #edges, tree 2
0;1 2;3;4;6;7
0;1 5;8;9
0;1 31
2;3;4;6;7 16
2;3;4;6;7 22;24;25
2;3;4;6;7 10;15;21;27
2;3;4;6;7 28
2;3;4;6;7 32;33;38
5;8;9 11
5;8;9 12
5;8;9 13;20
5;8;9 34
12 19;23;26;35
10;15;21;27 41
10;15;21;27 47;48
15 #edges, tree 3
10;15;21;27 47;48
10;15;21;27 41
16 28
12 19;23;26;35
5;8;9 34
5;8;9 13;20
5;8;9 12
5;8;9 11
2;3;4;6;7 32;33;38
2;3;4;6;7 10;15;21;27
2;3;4;6;7 22;24;25
2;3;4;6;7 16
0;1 31
0;1 5;8;9
0;1 2;3;4;6;7
15 #edges, tree 4
10;15;21;27 47;48
10;15;21;27 41
22;24;25 32;33;38
16 28
12 19;23;26;35
5;8;9 34
5;8;9 13;20
5;8;9 12
5;8;9 11
2;3;4;6;7 10;15;21;27
2;3;4;6;7 22;24;25
2;3;4;6;7 16
0;1 31
0;1 5;8;9
0;1 2;3;4;6;7
15 #edges, tree 5
0;1 2;3;4;6;7
0;1 5;8;9
0;1 31
2;3;4;6;7 16
2;3;4;6;7 22;24;25
2;3;4;6;7 10;15;21;27
2;3;4;6;7 28
2;3;4;6;7 32;33;38
2;3;4;6;7 47;48
5;8;9 11
5;8;9 12
5;8;9 13;20
5;8;9 34
12 19;23;26;35
10;15;21;27 41
15 #edges, tree 6
0;1 2;3;4;6;7
0;1 5;8;9
0;1 31
2;3;4;6;7 16
2;3;4;6;7 22;24;25
2;3;4;6;7 10;15;21;27
2;3;4;6;7 28
2;3;4;6;7 47;48
5;8;9 11
5;8;9 12
5;8;9 13;20
5;8;9 34
12 19;23;26;35
22;24;25 32;33;38
10;15;21;27 41
15 #edges, tree 7
0;1 2;3;4;6;7
0;1 5;8;9
0;1 31
2;3;4;6;7 16
2;3;4;6;7 22;24;25
2;3;4;6;7 10;15;21;27
2;3;4;6;7 28
5;8;9 11
5;8;9 12
5;8;9 13;20
5;8;9 34
12 19;23;26;35
22;24;25 32;33;38
10;15;21;27 41
41 47;48
15 #edges, tree 8
0;1 2;3;4;6;7
0;1 5;8;9
0;1 31
2;3;4;6;7 16
2;3;4;6;7 22;24;25
2;3;4;6;7 10;15;21;27
2;3;4;6;7 28
2;3;4;6;7 32;33;38
5;8;9 11
5;8;9 12
5;8;9 13;20
5;8;9 34
12 19;23;26;35
10;15;21;27 41
41 47;48
15 #edges, tree 9
41 47;48
10;15;21;27 41
22;24;25 32;33;38
16 28
12 19;23;26;35
5;8;9 34
5;8;9 13;20
5;8;9 12
5;8;9 11
2;3;4;6;7 10;15;21;27
2;3;4;6;7 22;24;25
2;3;4;6;7 16
0;1 31
0;1 5;8;9
0;1 2;3;4;6;7
15 #edges, tree 10
10;15;21;27 41
22;24;25 32;33;38
16 28
12 19;23;26;35
5;8;9 34
5;8;9 13;20
5;8;9 12
5;8;9 11
2;3;4;6;7 47;48
2;3;4;6;7 10;15;21;27
2;3;4;6;7 22;24;25
2;3;4;6;7 16
0;1 31
0;1 5;8;9
0;1 2;3;4;6;7
15 #edges, tree 11
41 47;48
10;15;21;27 41
16 28
12 19;23;26;35
5;8;9 34
5;8;9 13;20
5;8;9 12
5;8;9 11
2;3;4;6;7 32;33;38
2;3;4;6;7 10;15;21;27
2;3;4;6;7 22;24;25
2;3;4;6;7 16
0;1 31
0;1 5;8;9
0;1 2;3;4;6;7
15 #edges, tree 12
10;15;21;27 41
16 28
12 19;23;26;35
5;8;9 34
5;8;9 13;20
5;8;9 12
5;8;9 11
2;3;4;6;7 47;48
2;3;4;6;7 32;33;38
2;3;4;6;7 10;15;21;27
2;3;4;6;7 22;24;25
2;3;4;6;7 16
0;1 31
0;1 5;8;9
0;1 2;3;4;6;7
15 #edges, tree 13
10;15;21;27 41
16 28
12 19;23;26;35
5;8;9 13;20
5;8;9 12
5;8;9 11
2;3;4;6;7 47;48
2;3;4;6;7 32;33;38
2;3;4;6;7 10;15;21;27
2;3;4;6;7 22;24;25
2;3;4;6;7 16
0;1 34
0;1 31
0;1 5;8;9
0;1 2;3;4;6;7
15 #edges, tree 14
41 47;48
10;15;21;27 41
16 28
12 19;23;26;35
5;8;9 13;20
5;8;9 12
5;8;9 11
2;3;4;6;7 32;33;38
2;3;4;6;7 10;15;21;27
2;3;4;6;7 22;24;25
2;3;4;6;7 16
0;1 34
0;1 31
0;1 5;8;9
0;1 2;3;4;6;7
15 #edges, tree 15
10;15;21;27 47;48
10;15;21;27 41
16 28
12 19;23;26;35
5;8;9 13;20
5;8;9 12
5;8;9 11
2;3;4;6;7 32;33;38
2;3;4;6;7 10;15;21;27
2;3;4;6;7 22;24;25
2;3;4;6;7 16
0;1 34
0;1 31
0;1 5;8;9
0;1 2;3;4;6;7
15 #edges, tree 16
10;15;21;27 41
22;24;25 32;33;38
16 28
12 19;23;26;35
5;8;9 13;20
5;8;9 12
5;8;9 11
2;3;4;6;7 47;48
2;3;4;6;7 10;15;21;27
2;3;4;6;7 22;24;25
2;3;4;6;7 16
0;1 34
0;1 31
0;1 5;8;9
0;1 2;3;4;6;7
15 #edges, tree 17
0;1 2;3;4;6;7
