# 10 out of 10 mutations
3 #trees
9 #edges, tree 1
7;9;11;13;14;15;16;17;24;25;31 35
6;8 18;22;32;36;48
6;8 20;23;30;34
2 6;8
1 4;5;10;12;19;21;26;27;28;29;33;37;38;40;44;45;47;49;50
0 7;9;11;13;14;15;16;17;24;25;31
0 3
0 2
0 1
9 #edges, tree 2
0 1
0 2
0 7;9;11;13;14;15;16;17;24;25;31
1 4;5;10;12;19;21;26;27;28;29;33;37;38;40;44;45;47;49;50
2 3
2 6;8
6;8 20;23;30;34
6;8 18;22;32;36;48
7;9;11;13;14;15;16;17;24;25;31 35
9 #edges, tree 3
7;9;11;13;14;15;16;17;24;25;31 35
6;8 18;22;32;36;48
6;8 20;23;30;34
2 6;8
1 4;5;10;12;19;21;26;27;28;29;33;37;38;40;44;45;47;49;50
1 3
0 7;9;11;13;14;15;16;17;24;25;31
0 2
0 1
