# 13 out of 13 mutations
396 #trees
12 #edges, tree 1
0 1
0 12;16;17;27
0 10;13;21;30;32;35;36;37;38
0 52
1 8
1 23;24;25;33
1 7;9;11;15;18;19;20;34;39;40;45;47;51
8 2;3
8 14
12;16;17;27 48
10;13;21;30;32;35;36;37;38 41
52 4
12 #edges, tree 2
52 4
10;13;21;30;32;35;36;37;38 41
12;16;17;27 48
8 14
1 7;9;11;15;18;19;20;34;39;40;45;47;51
1 23;24;25;33
1 8
1 2;3
0 52
0 10;13;21;30;32;35;36;37;38
0 12;16;17;27
0 1
12 #edges, tree 3
0 1
0 2;3
0 12;16;17;27
0 10;13;21;30;32;35;36;37;38
0 52
1 8
1 23;24;25;33
1 7;9;11;15;18;19;20;34;39;40;45;47;51
8 14
12;16;17;27 48
10;13;21;30;32;35;36;37;38 41
52 4
12 #edges, tree 4
0 1
0 2;3
0 12;16;17;27
0 10;13;21;30;32;35;36;37;38
0 52
1 8
1 7;9;11;15;18;19;20;34;39;40;45;47;51
8 14
8 23;24;25;33
12;16;17;27 48
10;13;21;30;32;35;36;37;38 41
52 4
12 #edges, tree 5
52 4
10;13;21;30;32;35;36;37;38 41
12;16;17;27 48
8 14
1 7;9;11;15;18;19;20;34;39;40;45;47;51
1 8
0 52
0 10;13;21;30;32;35;36;37;38
0 23;24;25;33
0 12;16;17;27
0 2;3
0 1
12 #edges, tree 6
52 4
10;13;21;30;32;35;36;37;38 41
12;16;17;27 48
14 23;24;25;33
8 14
1 7;9;11;15;18;19;20;34;39;40;45;47;51
1 8
0 52
0 10;13;21;30;32;35;36;37;38
0 12;16;17;27
0 2;3
0 1
12 #edges, tree 7
52 4
10;13;21;30;32;35;36;37;38 41
12;16;17;27 48
8 14
1 7;9;11;15;18;19;20;34;39;40;45;47;51
1 8
1 2;3
0 52
0 10;13;21;30;32;35;36;37;38
0 23;24;25;33
0 12;16;17;27
0 1
12 #edges, tree 8
52 4
10;13;21;30;32;35;36;37;38 41
12;16;17;27 48
8 14
8 2;3
1 7;9;11;15;18;19;20;34;39;40;45;47;51
1 8
0 52
0 10;13;21;30;32;35;36;37;38
0 23;24;25;33
0 12;16;17;27
0 1
12 #edges, tree 9
0 1
0 12;16;17;27
0 10;13;21;30;32;35;36;37;38
0 52
1 8
1 7;9;11;15;18;19;20;34;39;40;45;47;51
8 2;3
8 14
8 23;24;25;33
12;16;17;27 48
10;13;21;30;32;35;36;37;38 41
52 4
12 #edges, tree 10
0 1
0 12;16;17;27
0 10;13;21;30;32;35;36;37;38
0 52
1 2;3
1 8
