# 12 out of 12 mutations
45 #trees
11 #edges, tree 1
37 51;52;54
35 37
4;7;30;32 39;40;45;48
22 44
22 36
22 35
6;9;10;11;13;15;17;18;20;21 22
0 3;5;12;14;16;19;23;33;34
0 4;7;30;32
0 2;8;29
0 6;9;10;11;13;15;17;18;20;21
11 #edges, tree 2
0 6;9;10;11;13;15;17;18;20;21
0 2;8;29
0 4;7;30;32
0 3;5;12;14;16;19;23;33;34
6;9;10;11;13;15;17;18;20;21 22
22 36
22 37
22 44
4;7;30;32 39;40;45;48
37 35
37 51;52;54
11 #edges, tree 3
37 35
35 51;52;54
4;7;30;32 39;40;45;48
22 44
22 37
22 36
6;9;10;11;13;15;17;18;20;21 22
0 3;5;12;14;16;19;23;33;34
0 4;7;30;32
0 2;8;29
0 6;9;10;11;13;15;17;18;20;21
11 #edges, tree 4
37 51;52;54
35 37
4;7;30;32 39;40;45;48
22 36
22 35
6;9;10;11;13;15;17;18;20;21 44
6;9;10;11;13;15;17;18;20;21 22
0 3;5;12;14;16;19;23;33;34
0 4;7;30;32
0 2;8;29
0 6;9;10;11;13;15;17;18;20;21
11 #edges, tree 5
0 6;9;10;11;13;15;17;18;20;21
0 2;8;29
0 4;7;30;32
0 3;5;12;14;16;19;23;33;34
6;9;10;11;13;15;17;18;20;21 22
22 35
22 36
4;7;30;32 39;40;45;48
35 37
36 44
37 51;52;54
11 #edges, tree 6
0 6;9;10;11;13;15;17;18;20;21
0 2;8;29
0 4;7;30;32
0 3;5;12;14;16;19;23;33;34
6;9;10;11;13;15;17;18;20;21 22
6;9;10;11;13;15;17;18;20;21 44
22 36
22 37
4;7;30;32 39;40;45;48
35 51;52;54
37 35
11 #edges, tree 7
0 6;9;10;11;13;15;17;18;20;21
0 2;8;29
0 4;7;30;32
0 3;5;12;14;16;19;23;33;34
6;9;10;11;13;15;17;18;20;21 22
6;9;10;11;13;15;17;18;20;21 44
22 36
22 37
4;7;30;32 39;40;45;48
37 35
37 51;52;54
11 #edges, tree 8
0 6;9;10;11;13;15;17;18;20;21
0 2;8;29
0 4;7;30;32
0 3;5;12;14;16;19;23;33;34
6;9;10;11;13;15;17;18;20;21 22
22 36
22 37
4;7;30;32 39;40;45;48
36 44
37 35
37 51;52;54
11 #edges, tree 9
37 35
36 44
35 51;52;54
4;7;30;32 39;40;45;48
22 37
22 36
6;9;10;11;13;15;17;18;20;21 22
0 3;5;12;14;16;19;23;33;34
0 4;7;30;32
0 2;8;29
0 6;9;10;11;13;15;17;18;20;21
11 #edges, tree 10
37 35
35 51;52;54
4;7;30;32 39;40;45;48
22 6;9;10;11;13;15;17;18;20;21
6;9;10;11;13;15;17;18;20;21 44
6;9;10;11;13;15;17;18;20;21 37
6;9;10;11;13;15;17;18;20;21 36
0 3;5;12;14;16;19;23;33;34
0 4;7;30;32
0 2;8;29
0 22
11 #edges, tree 11
37 51;52;54
37 35
4;7;30;32 39;40;45;48
22 6;9;10;11;13;15;17;18;20;21
6;9;10;11;13;15;17;18;20;21 44
6;9;10;11;13;15;17;18;20;21 37
6;9;10;11;13;15;17;18;20;21 36
0 3;5;12;14;16;19;23;33;34
0 4;7;30;32
0 2;8;29
0 22
11 #edges, tree 12
37 51;52;54
37 35
36 44
4;7;30;32 39;40;45;48
22 6;9;10;11;13;15;17;18;20;21
6;9;10;11;13;15;17;18;20;21 37
6;9;10;11;13;15;17;18;20;21 36
0 3;5;12;14;16;19;23;33;34
0 4;7;30;32
0 2;8;29
0 22
11 #edges, tree 13
37 35
36 44
35 51;52;54
4;7;30;32 39;40;45;48
22 6;9;10;11;13;15;17;18;20;21
6;9;10;11;13;15;17;18;20;21 37
6;9;10;11;13;15;17;18;20;21 36
0 3;5;12;14;16;19;23;33;34
0 4;7;30;32
0 2;8;29
0 22
11 #edges, tree 14
37 51;52;54
35 37
4;7;30;32 39;40;45;48
22 6;9;10;11;13;15;17;18;20;21
6;9;10;11;13;15;17;18;20;21 44
6;9;10;11;13;15;17;18;20;21 36
6;9;10;11;13;15;17;18;20;21 35
0 3;5;12;14;16;19;23;33;34
0 4;7;30;32
0 2;8;29
0 22
11 #edges, tree 15
37 51;52;54
36 44
35 37
4;7;30;32 39;40;45;48
22 6;9;10;11;13;15;17;18;20;21
6;9;10;11;13;15;17;18;20;21 36
6;9;10;11;13;15;17;18;20;21 35
0 3;5;12;14;16;19;23;33;34
0 4;7;30;32
0 2;8;29
0 22
11 #edges, tree 16
37 51;52;54
35 37
4;7;30;32 39;40;45;48
22 3;5;12;14;16;19;23;33;34
22 6;9;10;11;13;15;17;18;20;21
6;9;10;11;13;15;17;18;20;21 44
6;9;10;11;13;15;17;18;20;21 36
6;9;10;11;13;15;17;18;20;21 35
0 4;7;30;32
0 2;8;29
0 22
11 #edges, tree 17
0 22
0 2;8;29
0 4;7;30;32
6;9;10;11;13;15;17;18;20;21 3;5;12;14;16;19;23;33;34
6;9;10;11;13;15;17;18;20;21 35
6;9;10;11;13;15;17;18;20;21 36
6;9;10;11;13;15;17;18;20;21 44
22 6;9;10;11;13;15;17;18;20;21
4;7;30;32 39;40;45;48
35 37
37 51;52;54
11 #edges, tree 18
0 22
0 2;8;29
0 4;7;30;32
6;9;10;11;13;15;17;18;20;21 35
6;9;10;11;13;15;17;18;20;21 36
