# 14 out of 14 mutations
13296 #trees
13 #edges, tree 1
47;48 8;9;14;23;27;31;32;38;40
46 61
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
1 13;16;19;26;33
1 3
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 2
0 1
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 3
1 13;16;19;26;33
3 2
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
46 61
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 3
47;48 8;9;14;23;27;31;32;38;40
46 61
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
1 13;16;19;26;33
1 2
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 3
0 1
13 #edges, tree 4
47;48 8;9;14;23;27;31;32;38;40
46 61
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 2
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 3
0 1
13 #edges, tree 5
0 1
0 2
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 13;16;19;26;33
2 3
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
46 61
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 6
0 1
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 2
1 13;16;19;26;33
2 3
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
46 61
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 7
0 1
0 3
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 13;16;19;26;33
3 2
6;7;10 15;17;20
6;7;10 25;28;34;39;41
4;5;11;12;24;29;30;35;36;37 61
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 8
0 1
0 3
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 2
1 13;16;19;26;33
6;7;10 15;17;20
6;7;10 25;28;34;39;41
4;5;11;12;24;29;30;35;36;37 61
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 9
47;48 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
4;5;11;12;24;29;30;35;36;37 61
6;7;10 25;28;34;39;41
6;7;10 15;17;20
2 3
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 10
47;48 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
4;5;11;12;24;29;30;35;36;37 61
6;7;10 25;28;34;39;41
6;7;10 15;17;20
1 13;16;19;26;33
1 3
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 11
47;48 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
4;5;11;12;24;29;30;35;36;37 61
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 2
1 13;16;19;26;33
1 3
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 1
13 #edges, tree 12
47;48 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
4;5;11;12;24;29;30;35;36;37 61
6;7;10 25;28;34;39;41
6;7;10 15;17;20
2 3
1 13;16;19;26;33
1 2
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 1
13 #edges, tree 13
47;48 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 2
2 61
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 3
0 1
13 #edges, tree 14
47;48 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 61
3 2
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 3
0 1
13 #edges, tree 15
47;48 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 2
1 13;16;19;26;33
0 61
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 3
0 1
13 #edges, tree 16
47;48 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 2
1 61
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 3
0 1
13 #edges, tree 17
0 1
0 3
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 2
1 13;16;19;26;33
3 61
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 18
0 1
0 3
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
0 61
1 2
1 13;16;19;26;33
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 19
0 1
0 3
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 2
1 13;16;19;26;33
2 61
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 20
0 1
0 3
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 2
1 13;16;19;26;33
1 61
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 21
0 1
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 3
1 13;16;19;26;33
2 61
3 2
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 22
0 1
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 3
1 13;16;19;26;33
1 61
3 2
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 23
0 1
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 3
1 13;16;19;26;33
3 2
3 61
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 24
0 1
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
0 61
1 3
1 13;16;19;26;33
3 2
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 25
0 1
0 2
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
0 61
1 3
1 13;16;19;26;33
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 26
0 1
0 2
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 3
1 13;16;19;26;33
3 61
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 27
0 1
0 2
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 3
1 13;16;19;26;33
1 61
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 28
0 1
0 2
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 3
1 13;16;19;26;33
2 61
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 29
0 1
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
0 61
1 2
1 13;16;19;26;33
2 3
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 30
0 1
0 2
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
0 61
1 13;16;19;26;33
2 3
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 31
0 1
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 2
1 13;16;19;26;33
2 3
2 61
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 32
0 1
0 6;7;10
0 4;5;11;12;24;29;30;35;36;37
0 46
0 47;48
1 2
1 13;16;19;26;33
1 61
2 3
6;7;10 15;17;20
6;7;10 25;28;34;39;41
25;28;34;39;41 54;56
47;48 8;9;14;23;27;31;32;38;40
13 #edges, tree 33
47;48 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 61
2 3
1 13;16;19;26;33
1 2
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 1
13 #edges, tree 34
47;48 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 61
2 3
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 35
47;48 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
2 61
2 3
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 36
47;48 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
2 3
1 61
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 37
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
2 61
2 3
1 13;16;19;26;33
0 47;48
0 46
0 8;9;14;23;27;31;32;38;40
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 38
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 8;9;14;23;27;31;32;38;40
2 61
2 3
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 39
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
2 61
2 8;9;14;23;27;31;32;38;40
2 3
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 40
46 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
2 61
2 3
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 41
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
2 61
2 3
1 8;9;14;23;27;31;32;38;40
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 42
46 8;9;14;23;27;31;32;38;40
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 61
2 3
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 43
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 61
2 3
1 8;9;14;23;27;31;32;38;40
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 44
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 61
2 8;9;14;23;27;31;32;38;40
2 3
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
13 #edges, tree 45
25;28;34;39;41 54;56
6;7;10 25;28;34;39;41
6;7;10 15;17;20
3 61
3 8;9;14;23;27;31;32;38;40
2 3
1 13;16;19;26;33
0 47;48
0 46
0 4;5;11;12;24;29;30;35;36;37
0 6;7;10
0 2
0 1
