# 12 out of 12 mutations
154 #trees
11 #edges, tree 1
7;8;9;13;30;33;35;41;44;45 48
11;12;15;16;17;18;22;29;36;37 2
6;10;14 24;31;32;40;43
6;10;14 20;21;26
2 19;34;38;39;42
1 7;8;9;13;30;33;35;41;44;45
1 11;12;15;16;17;18;22;29;36;37
0 6;10;14
0 4
0 3
0 1
11 #edges, tree 2
0 1
0 3
0 4
0 6;10;14
1 11;12;15;16;17;18;22;29;36;37
1 7;8;9;13;30;33;35;41;44;45
1 48
2 19;34;38;39;42
6;10;14 20;21;26
6;10;14 24;31;32;40;43
11;12;15;16;17;18;22;29;36;37 2
11 #edges, tree 3
11;12;15;16;17;18;22;29;36;37 2
6;10;14 24;31;32;40;43
6;10;14 20;21;26
2 19;34;38;39;42
1 7;8;9;13;30;33;35;41;44;45
1 11;12;15;16;17;18;22;29;36;37
0 48
0 6;10;14
0 4
0 3
0 1
11 #edges, tree 4
7;8;9;13;30;33;35;41;44;45 48
11;12;15;16;17;18;22;29;36;37 19;34;38;39;42
6;10;14 24;31;32;40;43
6;10;14 20;21;26
2 11;12;15;16;17;18;22;29;36;37
1 7;8;9;13;30;33;35;41;44;45
1 2
0 6;10;14
0 4
0 3
0 1
11 #edges, tree 5
0 1
0 3
0 4
0 6;10;14
1 2
1 7;8;9;13;30;33;35;41;44;45
2 11;12;15;16;17;18;22;29;36;37
2 48
6;10;14 20;21;26
6;10;14 24;31;32;40;43
11;12;15;16;17;18;22;29;36;37 19;34;38;39;42
11 #edges, tree 6
0 1
0 3
0 4
0 6;10;14
1 2
1 7;8;9;13;30;33;35;41;44;45
1 48
2 11;12;15;16;17;18;22;29;36;37
6;10;14 20;21;26
6;10;14 24;31;32;40;43
11;12;15;16;17;18;22;29;36;37 19;34;38;39;42
11 #edges, tree 7
0 1
0 3
0 4
0 6;10;14
0 48
1 2
1 7;8;9;13;30;33;35;41;44;45
2 11;12;15;16;17;18;22;29;36;37
6;10;14 20;21;26
6;10;14 24;31;32;40;43
11;12;15;16;17;18;22;29;36;37 19;34;38;39;42
