# 10 out of 10 mutations
4 #trees
9 #edges, tree 1
26 32_34_35_36
26 28
5_6_8_10_20 26
7_9_11 15_18_23_33
0_1 3_4_25
0_1 5_6_8_10_20
0_1 16_17
0_1 7_9_11
0_1 2
9 #edges, tree 2
0_1 2
0_1 7_9_11
0_1 16_17
0_1 5_6_8_10_20
0_1 3_4_25
7_9_11 15_18_23_33
5_6_8_10_20 26
26 28
28 32_34_35_36
9 #edges, tree 3
28 32_34_35_36
26 28
5_6_8_10_20 26
7_9_11 15_18_23_33
2 16_17
0_1 3_4_25
0_1 5_6_8_10_20
0_1 7_9_11
0_1 2
9 #edges, tree 4
26 32_34_35_36
26 28
5_6_8_10_20 26
7_9_11 15_18_23_33
2 16_17
0_1 3_4_25
0_1 5_6_8_10_20
0_1 7_9_11
0_1 2
