# 10 out of 10 mutations
12 #trees
9 #edges, tree 1
4_6_8_11_19_24_28_30 38_46_56_69_73_74
0 36_57_62_68_70
0 1_3_10_34_35_48_55_59_61
0 9_12_14_23_25_26_29_32_33_37_39_45_49_52_54
0 42
0 2_5_27_31
0 4_6_8_11_19_24_28_30
0 7_13_22
0 17
9 #edges, tree 2
0 17
0 7_13_22
0 4_6_8_11_19_24_28_30
0 2_5_27_31
0 42
0 9_12_14_23_25_26_29_32_33_37_39_45_49_52_54
0 1_3_10_34_35_48_55_59_61
4_6_8_11_19_24_28_30 36_57_62_68_70
4_6_8_11_19_24_28_30 38_46_56_69_73_74
9 #edges, tree 3
4_6_8_11_19_24_28_30 38_46_56_69_73_74
7_13_22 17
0 36_57_62_68_70
0 1_3_10_34_35_48_55_59_61
0 9_12_14_23_25_26_29_32_33_37_39_45_49_52_54
0 42
0 2_5_27_31
0 4_6_8_11_19_24_28_30
0 7_13_22
9 #edges, tree 4
4_6_8_11_19_24_28_30 38_46_56_69_73_74
4_6_8_11_19_24_28_30 36_57_62_68_70
7_13_22 17
0 1_3_10_34_35_48_55_59_61
0 9_12_14_23_25_26_29_32_33_37_39_45_49_52_54
0 42
0 2_5_27_31
0 4_6_8_11_19_24_28_30
0 7_13_22
9 #edges, tree 5
0 7_13_22
0 4_6_8_11_19_24_28_30
0 2_5_27_31
0 42
0 1_3_10_34_35_48_55_59_61
0 36_57_62_68_70
7_13_22 17
4_6_8_11_19_24_28_30 9_12_14_23_25_26_29_32_33_37_39_45_49_52_54
4_6_8_11_19_24_28_30 38_46_56_69_73_74
9 #edges, tree 6
0 17
0 7_13_22
0 4_6_8_11_19_24_28_30
0 2_5_27_31
0 42
0 1_3_10_34_35_48_55_59_61
0 36_57_62_68_70
4_6_8_11_19_24_28_30 9_12_14_23_25_26_29_32_33_37_39_45_49_52_54
4_6_8_11_19_24_28_30 38_46_56_69_73_74
9 #edges, tree 7
0 17
0 7_13_22
0 4_6_8_11_19_24_28_30
0 2_5_27_31
0 9_12_14_23_25_26_29_32_33_37_39_45_49_52_54
0 1_3_10_34_35_48_55_59_61
4_6_8_11_19_24_28_30 36_57_62_68_70
4_6_8_11_19_24_28_30 38_46_56_69_73_74
2_5_27_31 42
9 #edges, tree 8
0 17
0 7_13_22
0 4_6_8_11_19_24_28_30
0 2_5_27_31
0 1_3_10_34_35_48_55_59_61
0 36_57_62_68_70
4_6_8_11_19_24_28_30 9_12_14_23_25_26_29_32_33_37_39_45_49_52_54
4_6_8_11_19_24_28_30 38_46_56_69_73_74
2_5_27_31 42
9 #edges, tree 9
2_5_27_31 42
4_6_8_11_19_24_28_30 38_46_56_69_73_74
0 36_57_62_68_70
0 1_3_10_34_35_48_55_59_61
0 9_12_14_23_25_26_29_32_33_37_39_45_49_52_54
0 2_5_27_31
0 4_6_8_11_19_24_28_30
0 7_13_22
0 17
9 #edges, tree 10
2_5_27_31 42
4_6_8_11_19_24_28_30 38_46_56_69_73_74
7_13_22 17
0 36_57_62_68_70
0 1_3_10_34_35_48_55_59_61
0 9_12_14_23_25_26_29_32_33_37_39_45_49_52_54
0 2_5_27_31
0 4_6_8_11_19_24_28_30
0 7_13_22
9 #edges, tree 11
2_5_27_31 42
4_6_8_11_19_24_28_30 38_46_56_69_73_74
4_6_8_11_19_24_28_30 36_57_62_68_70
7_13_22 17
0 1_3_10_34_35_48_55_59_61
0 9_12_14_23_25_26_29_32_33_37_39_45_49_52_54
0 2_5_27_31
0 4_6_8_11_19_24_28_30
0 7_13_22
9 #edges, tree 12
2_5_27_31 42
4_6_8_11_19_24_28_30 38_46_56_69_73_74
4_6_8_11_19_24_28_30 9_12_14_23_25_26_29_32_33_37_39_45_49_52_54
7_13_22 17
0 36_57_62_68_70
0 1_3_10_34_35_48_55_59_61
0 2_5_27_31
0 4_6_8_11_19_24_28_30
0 7_13_22
