CRUK0693_SU_FLN1	CRUK0693_SU_T1.R1	CRUK0693_SU_T1.R2	CRUK0693_SU_T1.R3	CRUK0693_SU_T1.R4	clusterID	treeID
0	0	0	0	0	1	4
0	0	0	0	0	2	4
26	0	0	0	0	4	4
0	26	0	0	0	5	4
17	0	0	0	0	6	4
0	0	16	0	0	7	4
0	0	0	0	12	9	4
0	0	9	0	0	10	4
0	20	0	0	0	11	4
0	10	0	0	0	12	4
0	0	9	0	0	13	4
0	0	19	31	12	15	4
0	0	0	0	36	16	4
14	0	0	0	0	17	4
0	0	0	8	0	19	4
0	0	0	29	0	20	4
43	0	0	0	0	21	4
0	0	16	0	19	23	4
0	16	0	0	0	24	4
0	28	24	25	21	26	4
0	0	0	7	0	27	4
0	0	7	0	0	28	4
0	0	0	0	0	1	21
0	0	0	0	0	2	21
26	0	0	0	0	4	21
0	26	0	0	0	5	21
17	0	0	0	0	6	21
0	0	16	0	0	7	21
0	0	0	0	12	9	21
0	0	9	0	0	10	21
0	20	0	0	0	11	21
0	10	0	0	0	12	21
0	0	16	0	0	13	21
0	0	19	31	12	15	21
0	0	0	0	36	16	21
14	0	0	0	0	17	21
0	0	0	8	0	19	21
0	0	0	29	0	20	21
43	0	0	0	0	21	21
0	0	0	0	19	23	21
0	16	0	0	0	24	21
0	28	24	25	21	26	21
0	0	0	7	0	27	21
0	0	16	0	0	28	21
