treeID	sum_condition_error	SCE_ranking	lowest_SCE	edge_probability_score	edge_probability_ranking	highest_edge_probability
1	0.316666666666667	77	Alternative tree	-113.125972935178	1	Highest edge probability tree
2	0.335294117647059	105	Alternative tree	-347.157952950013	19908	Alternative tree
3	0.364705882352941	156	Alternative tree	-347.157952950013	19908	Alternative tree
4	0.335294117647059	105	Alternative tree	-166.061376518691	616	Alternative tree
5	0.417647058823529	236	Alternative tree	-291.96923392782	14595	Alternative tree
6	0.452941176470588	300	Alternative tree	-184.596335897012	1387	Alternative tree
7	0.341176470588235	116	Alternative tree	-409.440627922785	21309	Alternative tree
8	0.364705882352941	155	Alternative tree	-259.461085844855	9614	Alternative tree
9	0.361111111111111	148	Alternative tree	-206.269725447436	2834	Alternative tree
10	0.322222222222222	87	Alternative tree	-157.263856590003	339	Alternative tree
11	0.364705882352941	156	Alternative tree	-192.624817517114	1789	Alternative tree
12	0.335294117647059	105	Alternative tree	-192.624817517114	1789	Alternative tree
13	0.417647058823529	236	Alternative tree	-192.624817517114	1789	Alternative tree
14	0.435294117647059	270	Alternative tree	-188.520678780356	1586	Alternative tree
15	0.352941176470588	136	Alternative tree	-162.532203740105	488	Alternative tree
16	0.335294117647059	105	Alternative tree	-179.16456257551	1132	Alternative tree
17	0.352941176470588	136	Alternative tree	-179.16456257551	1132	Alternative tree
18	0.335294117647059	105	Alternative tree	-179.343667585105	1142	Alternative tree
19	0.417647058823529	236	Alternative tree	-186.173008110955	1465	Alternative tree
20	0.364705882352941	155	Alternative tree	-179.192047689664	1134	Alternative tree
21	0.623529411764706	540	Alternative tree	-143.005596214664	97	Alternative tree
22	0.316666666666667	77	Alternative tree	-156.077608125441	311	Alternative tree
23	0.3	59	Alternative tree	-129.754784441052	18	Alternative tree
24	0.322222222222222	87	Alternative tree	-139.04629792933	62	Alternative tree
25	0.3	59	Alternative tree	-131.109620453984	23	Alternative tree
26	0.370588235294118	163	Alternative tree	-134.932561286426	35	Alternative tree
27	0.376470588235294	174	Alternative tree	-215.932018530353	3870	Alternative tree
28	0.364705882352941	156	Alternative tree	-200.30168533933	2314	Alternative tree
29	0.417647058823529	236	Alternative tree	-200.30168533933	2314	Alternative tree
30	0.452941176470588	300	Alternative tree	-126.838352376624	11	Alternative tree
31	0.341176470588235	116	Alternative tree	-185.203559692559	1416	Alternative tree
32	0.335294117647059	105	Alternative tree	-185.203559692559	1416	Alternative tree
33	0.335294117647059	105	Alternative tree	-192.478942997258	1785	Alternative tree
34	0.335294117647059	105	Alternative tree	-185.203559692559	1416	Alternative tree
35	0.335294117647059	105	Alternative tree	-185.203559692559	1416	Alternative tree
36	0.376470588235294	174	Alternative tree	-185.203559692559	1416	Alternative tree
37	0.335294117647059	105	Alternative tree	-123.734525494225	7	Alternative tree
38	0.376470588235294	174	Alternative tree	-166.623177528687	634	Alternative tree
39	0.352941176470588	136	Alternative tree	-166.623177528687	634	Alternative tree
40	0.341176470588235	116	Alternative tree	-166.623177528687	634	Alternative tree
41	0.335294117647059	105	Alternative tree	-121.828219183698	6	Alternative tree
42	0.405882352941176	215	Alternative tree	-151.184838324265	214	Alternative tree
