CRUK0794_SU_FLN1	CRUK0794_SU_T1.R1	CRUK0794_SU_T1.R2	CRUK0794_SU_T1.R3	CRUK0794_SU_T1.R4	CRUK0794_SU_T1.R5	clusterID	treeID
0	0	0	0	0	44	1	1
0	0	0	0	0	0	2	1
100	0	0	0	0	0	3	1
0	0	0	0	18	0	4	1
0	12.0163934426229	0	15.3362831858407	0	0	5	1
0	0	0	0	0	56	6	1
0	0	12	0	0	0	7	1
0	13.9344262295082	0	17.6991150442478	50	0	8	1
0	0	12	0	0	0	9	1
0	0	0	22	0	0	10	1
0	14	46	0	0	0	12	1
0	17	0	0	0	0	13	1
0	0	0	37	0	0	14	1
0	7.31147540983607	0	7.9646017699115	0	0	15	1
0	0	30	0	0	0	16	1
0	5.73770491803279	0	0	0	0	17	1
0	30	0	0	0	0	18	1
0	0	0	0	32	0	19	1
