CRUK0567_SU_FLN1	CRUK0567_SU_T1.R1	CRUK0567_SU_T1.R2	CRUK0567_SU_T1.R3	CRUK0567_SU_T1.R4	clusterID	treeID
0	0	0	0	0	1	1
49	0	0	0	0	2	1
51	0	0	0	0	3	1
0	0	0	0	7	4	1
0	0	0	0	9	5	1
0	33	31	0	0	6	1
0	0	0	0	20	8	1
0	0	0	0	18	9	1
0	0	0	0	0	10	1
0	20	0	0	0	11	1
0	0	0	14	0	12	1
0	0	0	19	0	13	1
0	47	8	0	0	14	1
0	0	0	4.66412213740458	20	15	1
0	0	41	0	0	16	1
0	0	20	0	0	17	1
0	0	0	54	0	18	1
0	0	0	0	26	19	1
0	0	0	8.33587786259542	0	20	1
0	0	0	0	0	1	5
49	0	0	0	0	2	5
51	0	0	0	0	3	5
0	0	0	0	7	4	5
0	0	0	0	9	5	5
0	33	31	0	0	6	5
0	0	0	0	20	8	5
0	0	0	0	18	9	5
0	0	0	0	0	10	5
0	20	0	0	0	11	5
0	0	0	14	0	12	5
0	0	0	19	0	13	5
0	47	8	0	0	14	5
0	0	0	23.6641221374046	20	15	5
0	0	41	0	0	16	5
0	0	20	0	0	17	5
0	0	0	35	0	18	5
0	0	0	0	26	19	5
0	0	0	8.33587786259542	0	20	5
