CRUK0519_SU_FLN1	CRUK0519_SU_T1.R1	CRUK0519_SU_T1.R2	CRUK0519_SU_T1.R3	CRUK0519_SU_T2.R1	CRUK0519_SU_T2.R2	clusterID	treeID
0	0	0	0	0	0	1	1
0	0	0	0	0	4	2	1
0	0	0	11.4403669724771	0	0	3	1
65	0	0	0	0	0	4	1
0	0	30	0	0	0	5	1
35	0	0	0	0	0	7	1
0	0	0	0	0	0	8	1
0	27	0	0	0	0	10	1
0	0	0	0	0	18.24	11	1
0	0	0	17	0	0	12	1
0	0	40	0	0	0	15	1
0	0	19	0	0	0	16	1
0	0	0	39	0	0	17	1
0	0	0	0	32	0	18	1
0	0	0	0	16	0	20	1
0	24	0	0	0	0	21	1
0	0	0	0	0	58	22	1
0	0	11	0	0	0	23	1
0	0	0	23	0	0	24	1
0	0	0	0	36	0	25	1
0	49	0	9.55963302752293	0	0	30	1
0	0	0	0	16	19.76	31	1
