CRUK0236_SU_FLN1	CRUK0236_SU_T1.R1	CRUK0236_SU_T1.R2	CRUK0236_SU_T1.R3	CRUK0236_SU_T1.R4	CRUK0236_SU_T1.R5	CRUK0236_SU_T1.R6	clusterID	treeID
0	0	0	34	0	0	0	1	1
0	0	0	0	0	34	0	2	1
0	0	0	0	0	0	23	3	1
0	72	0	0	0	0	0	4	1
0	28	0	0	0	0	0	5	1
0	0	0	0	0	0	77	6	1
0	0	0	35	0	0	0	7	1
49	0	11	0	0	0	0	8	1
51	0	0	0	0	0	0	9	1
0	0	56	0	0	0	0	10	1
0	0	31	0	0	0	0	11	1
0	0	0	0	44	0	0	12	1
0	0	0	0	56	0	0	13	1
0	0	0	3	0	0	0	15	1
0	0	0	18	0	0	0	16	1
0	0	0	0	0	0	0	18	1
0	0	0	0	0	66	0	19	1
0	0	2	0	0	0	0	20	1
0	0	0	10	0	0	0	23	1
0	0	0	0	0	0	0	1	2
0	0	0	0	0	34	0	2	2
0	0	0	0	0	0	23	3	2
0	72	0	0	0	0	0	4	2
0	28	0	0	0	0	0	5	2
0	0	0	0	0	0	77	6	2
0	0	0	34.6534653465347	0	0	0	7	2
49	0	11	0	0	0	0	8	2
51	0	0	0	0	0	0	9	2
0	0	56	0	0	0	0	10	2
0	0	31	0	0	0	0	11	2
0	0	0	0	44	0	0	12	2
0	0	0	0	56	0	0	13	2
0	0	0	3	0	0	0	15	2
0	0	0	18	0	0	0	16	2
0	0	0	0	0	0	0	18	2
0	0	0	0	0	66	0	19	2
0	0	2	0	0	0	0	20	2
0	0	0	44.3465346534653	0	0	0	23	2
