### 184 trees
# tree 1
4	1
14	2
8	3
0	4
14	5
2	6
14	8
0	14
18	15
20	16
1	17
17	18
6	20
20	21
8	7
15	9
5	10
16	11
3	12
20	13
21	19
# tree 2
0	4
0	14
14	8
14	2
17	18
6	20
4	1
1	17
2	6
18	15
14	5
20	16
8	3
20	21
5	10
15	9
16	11
3	12
20	13
21	19
10	7
# tree 3
0	4
0	14
14	8
14	2
17	18
6	20
4	1
1	17
2	6
18	15
14	5
8	3
20	21
20	16
8	7
15	9
5	10
3	12
20	13
21	19
21	11
# tree 4
0	4
0	14
14	8
14	2
17	18
6	20
4	1
1	17
2	6
18	15
14	5
8	3
20	21
20	16
8	7
15	9
5	10
3	12
20	13
21	19
20	11
# tree 5
0	4
0	14
14	8
14	2
6	20
4	1
1	17
2	6
1	15
14	5
20	16
8	3
20	21
17	18
8	7
15	9
5	10
16	11
3	12
20	13
21	19
# tree 6
0	4
0	14
14	8
14	2
6	20
4	1
1	17
2	6
17	15
14	5
20	16
8	3
20	21
17	18
8	7
15	9
5	10
16	11
3	12
20	13
21	19
# tree 7
0	4
0	14
14	8
14	2
1	18
6	20
4	1
2	6
18	15
14	5
20	16
8	3
20	21
1	17
8	7
15	9
5	10
16	11
3	12
20	13
21	19
# tree 8
0	4
0	14
14	8
14	2
17	18
6	20
4	1
1	17
2	6
18	15
14	5
20	16
8	3
20	21
8	7
15	9
5	10
16	11
3	12
20	13
2	19
# tree 9
0	4
0	14
14	8
14	2
17	18
6	20
4	1
1	17
2	6
18	15
14	5
20	16
8	3
20	21
8	7
15	9
5	10
16	11
3	12
20	13
6	19
# tree 10
0	4
0	14
14	8
14	2
17	18
6	20
4	1
1	17
2	6
18	15
14	5
20	16
8	3
20	21
8	7
15	9
5	10
16	11
3	12
20	13
20	19
# tree 11
0	4
0	14
14	8
14	2
17	18
6	20
4	1
1	17
2	6
18	15
14	5
20	16
8	3
2	21
8	7
15	9
5	10
16	11
3	12
20	13
21	19
# tree 12
0	4
0	14
14	8
14	2
17	18
6	20
4	1
1	17
2	6
18	15
14	5
20	16
8	3
6	21
8	7
15	9
5	10
16	11
3	12
20	13
21	19
# tree 13
0	14
1	17
2	6
0	4
4	1
14	2
17	18
6	20
14	8
18	15
14	5
8	3
20	21
20	16
8	7
15	9
5	10
3	12
20	13
21	19
2	11
# tree 14
0	14
1	17
2	6
0	4
4	1
14	2
17	18
6	20
14	8
18	15
14	5
8	3
20	21
20	16
8	7
15	9
5	10
3	12
20	13
21	19
6	11
# tree 15
0	14
1	17
2	6
0	4
4	1
14	2
17	18
6	20
14	8
18	15
14	5
20	16
8	3
20	21
15	9
5	10
16	11
3	12
20	13
21	19
5	7
# tree 16
0	14
1	17
2	6
0	4
4	1
14	2
17	18
6	20
14	8
18	15
14	5
20	16
8	3
20	21
15	9
5	10
16	11
3	12
20	13
21	19
0	7
# tree 17
0	14
1	17
2	6
0	4
4	1
14	2
14	8
6	20
1	15
14	5
8	3
20	21
17	18
20	16
8	7
15	9
5	10
3	12
20	13
