CRUK0640_SU_FLN2	CRUK0640_SU_T1.R1	CRUK0640_SU_T1.R2	CRUK0640_SU_T1.R3	CRUK0640_SU_T1.R5	CRUK0640_SU_T1.R6	CRUK0640_SU_T1.R8	clusterID	treeID
0	0	0	0	0	0	64	1	13
0	0	19	0	0	0	0	2	13
0	0	19	0	0	0	0	3	13
0	0	25	0	0	0	0	4	13
100	0	0	0	0	0	0	5	13
0	0	0	0	0	19.5994993742178	0	7	13
0	0	0	0	17	0	0	8	13
0	0	0	0	0	0	10	9	13
0	59	0	0	0	0	0	10	13
0	0	0	0	31	0	0	11	13
0	0	0	0	52	0	0	12	13
0	0	0	0	0	28	10	13	13
0	0	0	13	0	0	0	14	13
0	0	37	0	0	0	0	15	13
0	0	0	0	0	14.5531914893617	5	17	13
0	0	0	87	0	0	0	18	13
0	0	0	0	0	0	11	19	13
0	0	0	0	0	37.8473091364205	0	22	13
0	41	0	0	0	0	0	23	13
0	0	0	0	0	0	0	25	13
