treeID	sum_condition_error	SCE_ranking	lowest_SCE	edge_probability_score	edge_probability_ranking	highest_edge_probability
1	0.652380952380952	77	Alternative tree	-51.8538232615214	1	Highest edge probability tree
2	0.6	51	Alternative tree	-90.0207671032005	265	Alternative tree
3	0.685	95	Alternative tree	-228.655739036106	472	Alternative tree
4	0.622727272727273	60	Alternative tree	-53.9917858212649	3	Alternative tree
5	0.652380952380952	77	Alternative tree	-110.417104976318	449	Alternative tree
6	0.728571428571429	136	Alternative tree	-110.417104976318	449	Alternative tree
7	0.742857142857143	146	Alternative tree	-55.2353306022701	5	Alternative tree
8	0.519047619047619	15	Alternative tree	-54.7546344909325	4	Alternative tree
9	0.685	95	Alternative tree	-53.9728629102357	2	Alternative tree
10	0.622727272727273	60	Alternative tree	-72.6937993448631	179	Alternative tree
11	0.652380952380952	77	Alternative tree	-71.3564126875241	160	Alternative tree
12	0.685	95	Alternative tree	-66.5381627239398	90	Alternative tree
13	0.745	147	Alternative tree	-58.6919382047798	17	Alternative tree
14	0.704761904761905	111	Alternative tree	-61.5502978112044	35	Alternative tree
15	0.614285714285714	56	Alternative tree	-56.4022007252986	7	Alternative tree
16	0.652380952380952	77	Alternative tree	-119.809349023153	467	Alternative tree
17	0.728571428571429	136	Alternative tree	-58.2505644440759	14	Alternative tree
18	0.704761904761905	112	Alternative tree	-71.3564126875241	160	Alternative tree
19	0.719047619047619	126	Alternative tree	-71.3564126875241	160	Alternative tree
20	0.719047619047619	125	Alternative tree	-71.3564126875241	160	Alternative tree
21	0.719047619047619	126	Alternative tree	-71.3564126875241	160	Alternative tree
22	0.714285714285714	123	Alternative tree	-71.3564126875241	160	Alternative tree
23	0.652380952380952	77	Alternative tree	-57.3955811945666	12	Alternative tree
24	0.652380952380952	77	Alternative tree	-90.0207671032005	265	Alternative tree
25	0.561904761904762	30	Alternative tree	-95.1075462586036	274	Alternative tree
26	0.622727272727273	61	Alternative tree	-112.555067536061	461	Alternative tree
27	0.695454545454545	108	Alternative tree	-112.555067536061	461	Alternative tree
28	0.709090909090909	115	Alternative tree	-57.3732931620135	11	Alternative tree
29	0.731818181818182	139	Alternative tree	-96.5953540927552	280	Alternative tree
30	0.495454545454545	11	Alternative tree	-56.892597050676	9	Alternative tree
31	0.652380952380952	77	Alternative tree	-56.1108254699792	6	Alternative tree
32	0.672727272727273	87	Alternative tree	-73.4943752472676	190	Alternative tree
33	0.686363636363636	99	Alternative tree	-73.4943752472676	190	Alternative tree
34	0.622727272727273	61	Alternative tree	-73.4943752472676	190	Alternative tree
35	0.686363636363636	99	Alternative tree	-73.4943752472676	190	Alternative tree
36	0.686363636363636	99	Alternative tree	-73.4943752472676	190	Alternative tree
37	0.681818181818182	92	Alternative tree	-73.4943752472676	190	Alternative tree
38	0.622727272727273	61	Alternative tree	-59.5335437543101	22	Alternative tree
39	0.652380952380952	77	Alternative tree	-68.6761252836833	122	Alternative tree
40	0.70952380952381	117	Alternative tree	-60.8299007645233	31	Alternative tree
41	0.672727272727273	87	Alternative tree	-63.6882603709479	56	Alternative tree
42	0.586363636363636	45	Alternative tree	-58.5401632850421	16	Alternative tree
43	0.572727272727273	35	Alternative tree	-92.158729662944	267	Alternative tree
44	0.622727272727273	61	Alternative tree	-92.158729662944	267	Alternative tree
45	0.536363636363636	18	Alternative tree	-97.2455088183471	286	Alternative tree
46	0.609523809523809	53	Alternative tree	-58.1361418316811	13	Alternative tree
47	0.78	167	Alternative tree	-57.3543702509843	10	Alternative tree
48	0.835	196	Alternative tree	-74.7379200282727	202	Alternative tree
49	0.85	204	Alternative tree	-74.7379200282727	202	Alternative tree
50	0.78	167	Alternative tree	-74.7379200282727	202	Alternative tree
51	0.85	203	Alternative tree	-74.7379200282727	202	Alternative tree
52	0.85	204	Alternative tree	-74.7379200282727	202	Alternative tree
53	0.845	201	Alternative tree	-74.7379200282727	202	Alternative tree
54	0.78	167	Alternative tree	-60.7770885353153	29	Alternative tree
55	0.78	167	Alternative tree	-69.9196700646885	138	Alternative tree
56	0.84	198	Alternative tree	-62.0734455455284	42	Alternative tree
57	0.795238095238095	177	Alternative tree	-64.931805151953	73	Alternative tree
58	0.704761904761905	112	Alternative tree	-59.7837080660472	23	Alternative tree
59	0.69047619047619	104	Alternative tree	-93.4022744439491	269	Alternative tree
60	0.742857142857143	146	Alternative tree	-93.4022744439491	269	Alternative tree
61	0.652380952380952	77	Alternative tree	-98.4890535993522	296	Alternative tree
62	0.545	24	Alternative tree	-56.8736741396468	8	Alternative tree
63	0.571428571428571	34	Alternative tree	-74.2572239169352	199	Alternative tree
64	0.585714285714286	44	Alternative tree	-74.2572239169352	199	Alternative tree
65	0.519047619047619	15	Alternative tree	-74.2572239169352	199	Alternative tree
66	0.585714285714286	44	Alternative tree	-74.2572239169352	199	Alternative tree
67	0.585714285714286	44	Alternative tree	-74.2572239169352	199	Alternative tree
68	0.580952380952381	41	Alternative tree	-74.2572239169352	199	Alternative tree
69	0.519047619047619	15	Alternative tree	-60.2963924239777	26	Alternative tree
70	0.545	24	Alternative tree	-69.4389739533509	134	Alternative tree
71	0.605	52	Alternative tree	-61.5927494341909	36	Alternative tree
72	0.485714285714286	9	Alternative tree	-64.4511090406155	66	Alternative tree
73	0.566666666666667	32	Alternative tree	-59.3030119547097	19	Alternative tree
74	0.428571428571429	2	Alternative tree	-92.9215783326116	268	Alternative tree
75	0.519047619047619	15	Alternative tree	-92.9215783326116	268	Alternative tree
76	0.461904761904762	5	Alternative tree	-98.0083574880147	292	Alternative tree
77	0.74	144	Alternative tree	-73.4754523362384	188	Alternative tree
78	0.755	154	Alternative tree	-73.4754523362384	188	Alternative tree
79	0.685	96	Alternative tree	-73.4754523362384	188	Alternative tree
80	0.755	153	Alternative tree	-73.4754523362384	188	Alternative tree
81	0.755	154	Alternative tree	-73.4754523362384	188	Alternative tree
82	0.75	152	Alternative tree	-73.4754523362384	188	Alternative tree
83	0.685	96	Alternative tree	-59.5146208432809	21	Alternative tree
84	0.721052631578947	129	Alternative tree	-68.6572023726541	121	Alternative tree
85	0.784210526315789	170	Alternative tree	-60.8109778534941	30	Alternative tree
86	0.74	144	Alternative tree	-63.6693374599187	54	Alternative tree
87	0.645	74	Alternative tree	-58.5212403740129	15	Alternative tree
88	0.63	67	Alternative tree	-92.1398067519148	266	Alternative tree
89	0.685	96	Alternative tree	-92.1398067519148	266	Alternative tree
90	0.59	47	Alternative tree	-97.2265859073179	285	Alternative tree
91	0.652380952380952	77	Alternative tree	-87.3781388072815	263	Alternative tree
92	0.70952380952381	117	Alternative tree	-79.5319142881215	245	Alternative tree
93	0.672727272727273	87	Alternative tree	-82.390273894546	258	Alternative tree
94	0.586363636363636	45	Alternative tree	-77.2421768086403	230	Alternative tree
95	0.572727272727273	35	Alternative tree	-110.860743186542	455	Alternative tree
96	0.622727272727273	61	Alternative tree	-110.860743186542	455	Alternative tree
97	0.536363636363636	18	Alternative tree	-115.947522341945	464	Alternative tree
98	0.8	179	Alternative tree	-68.3884127544628	119	Alternative tree
99	0.705	114	Alternative tree	-63.240315668557	51	Alternative tree
100	0.69	101	Alternative tree	-96.8588820464589	283	Alternative tree
101	0.745	148	Alternative tree	-96.8588820464589	283	Alternative tree
102	0.65	76	Alternative tree	-101.945661201862	340	Alternative tree
103	0.652380952380952	77	Alternative tree	-94.5691445669777	271	Alternative tree
104	0.704761904761905	112	Alternative tree	-94.5691445669777	271	Alternative tree
105	0.704761904761905	112	Alternative tree	-99.6559237223808	306	Alternative tree
106	0.728571428571429	136	Alternative tree	-116.813846158872	465	Alternative tree
107	0.804761904761905	180	Alternative tree	-116.813846158872	465	Alternative tree
108	0.819047619047619	186	Alternative tree	-61.6320717848245	37	Alternative tree
109	0.595238095238095	50	Alternative tree	-61.151375673487	32	Alternative tree
110	0.765	160	Alternative tree	-60.3696040927902	27	Alternative tree
111	0.780952380952381	168	Alternative tree	-77.7531538700786	235	Alternative tree
112	0.795238095238095	177	Alternative tree	-77.7531538700786	235	Alternative tree
113	0.728571428571429	136	Alternative tree	-77.7531538700786	235	Alternative tree
114	0.795238095238095	177	Alternative tree	-77.7531538700786	235	Alternative tree
115	0.795238095238095	177	Alternative tree	-77.7531538700786	235	Alternative tree
116	0.790476190476191	176	Alternative tree	-77.7531538700786	235	Alternative tree
117	0.728571428571429	136	Alternative tree	-63.7923223771211	60	Alternative tree
118	0.765	160	Alternative tree	-72.9349039064943	181	Alternative tree
119	0.825	193	Alternative tree	-65.0886793873343	76	Alternative tree
120	0.780952380952381	168	Alternative tree	-67.9470389937589	112	Alternative tree
121	0.69047619047619	104	Alternative tree	-62.7989419078531	47	Alternative tree
122	0.676190476190476	90	Alternative tree	-96.417508285755	279	Alternative tree
123	0.728571428571429	135	Alternative tree	-96.417508285755	279	Alternative tree
124	0.638095238095238	70	Alternative tree	-101.504287441158	332	Alternative tree
125	0.685	96	Alternative tree	-72.079920656985	171	Alternative tree
126	0.704761904761905	112	Alternative tree	-67.0920557442496	101	Alternative tree
127	0.614285714285714	57	Alternative tree	-61.9439586583438	41	Alternative tree
128	0.6	51	Alternative tree	-95.5625250362457	277	Alternative tree
129	0.652380952380952	77	Alternative tree	-95.5625250362457	277	Alternative tree
130	0.561904761904762	30	Alternative tree	-100.649304191649	323	Alternative tree
131	0.818181818181818	185	Alternative tree	-99.9768614335039	311	Alternative tree
132	0.581818181818182	43	Alternative tree	-60.2741043914246	25	Alternative tree
133	0.742857142857143	146	Alternative tree	-59.4923328107278	20	Alternative tree
134	0.795238095238095	177	Alternative tree	-76.8758825880162	225	Alternative tree
135	0.80952380952381	183	Alternative tree	-76.8758825880162	225	Alternative tree
136	0.742857142857143	146	Alternative tree	-76.8758825880162	225	Alternative tree
137	0.80952380952381	183	Alternative tree	-76.8758825880162	225	Alternative tree
138	0.80952380952381	183	Alternative tree	-76.8758825880162	225	Alternative tree
139	0.804761904761905	180	Alternative tree	-76.8758825880162	225	Alternative tree
140	0.742857142857143	146	Alternative tree	-62.9150510950587	49	Alternative tree
141	0.742857142857143	146	Alternative tree	-72.0576326244319	170	Alternative tree
142	0.8	179	Alternative tree	-64.2114081052719	65	Alternative tree
143	0.759090909090909	155	Alternative tree	-67.0697677116965	100	Alternative tree
144	0.672727272727273	87	Alternative tree	-61.9216706257907	40	Alternative tree
145	0.659090909090909	81	Alternative tree	-95.5402370036926	276	Alternative tree
146	0.709090909090909	115	Alternative tree	-95.5402370036926	276	Alternative tree
147	0.622727272727273	60	Alternative tree	-100.627016159096	322	Alternative tree
148	0.519047619047619	15	Alternative tree	-59.0116366993902	18	Alternative tree
149	0.545454545454545	25	Alternative tree	-76.3951864766787	220	Alternative tree
150	0.559090909090909	29	Alternative tree	-76.3951864766787	220	Alternative tree
151	0.495454545454545	11	Alternative tree	-76.3951864766787	220	Alternative tree
152	0.559090909090909	29	Alternative tree	-76.3951864766787	220	Alternative tree
153	0.559090909090909	29	Alternative tree	-76.3951864766787	220	Alternative tree
154	0.554545454545455	28	Alternative tree	-76.3951864766787	220	Alternative tree
155	0.495454545454545	11	Alternative tree	-62.4343549837212	45	Alternative tree
156	0.519047619047619	15	Alternative tree	-71.5769365130944	163	Alternative tree
157	0.576190476190476	38	Alternative tree	-63.7307119939344	58	Alternative tree
158	0.463636363636364	6	Alternative tree	-66.589071600359	92	Alternative tree
159	0.540909090909091	21	Alternative tree	-61.4409745144532	34	Alternative tree
160	0.409090909090909	1	Lowest SCE tree	-95.0595408923551	273	Alternative tree
161	0.495454545454545	11	Alternative tree	-95.0595408923551	273	Alternative tree
162	0.440909090909091	3	Alternative tree	-100.146320047758	316	Alternative tree
163	0.704761904761905	112	Alternative tree	-75.6134148959818	213	Alternative tree
164	0.719047619047619	124	Alternative tree	-75.6134148959818	213	Alternative tree
165	0.652380952380952	77	Alternative tree	-75.6134148959818	213	Alternative tree
166	0.719047619047619	125	Alternative tree	-75.6134148959818	213	Alternative tree
167	0.719047619047619	126	Alternative tree	-75.6134148959818	213	Alternative tree
168	0.714285714285714	122	Alternative tree	-75.6134148959818	213	Alternative tree
169	0.652380952380952	77	Alternative tree	-61.6525834030244	38	Alternative tree
170	0.685	95	Alternative tree	-70.7951649323976	153	Alternative tree
171	0.745	148	Alternative tree	-62.9489404132376	50	Alternative tree
172	0.704761904761905	111	Alternative tree	-65.8073000196622	82	Alternative tree
173	0.614285714285714	56	Alternative tree	-60.6592029337564	28	Alternative tree
174	0.6	51	Alternative tree	-94.2777693116583	270	Alternative tree
175	0.652380952380952	77	Alternative tree	-94.2777693116583	270	Alternative tree
176	0.561904761904762	30	Alternative tree	-99.3645484670614	303	Alternative tree
177	0.652380952380952	77	Alternative tree	-74.2178832167285	196	Alternative tree
178	0.672727272727273	87	Alternative tree	-69.2300183039931	131	Alternative tree
179	0.586363636363636	45	Alternative tree	-64.0819212180873	63	Alternative tree
180	0.572727272727273	35	Alternative tree	-97.7004875959892	290	Alternative tree
181	0.622727272727273	60	Alternative tree	-97.7004875959892	290	Alternative tree
182	0.536363636363636	18	Alternative tree	-102.787266751392	352	Alternative tree
183	0.761904761904762	157	Alternative tree	-70.5263753142063	151	Alternative tree
184	0.671428571428571	86	Alternative tree	-65.3782782283005	79	Alternative tree
185	0.657142857142857	79	Alternative tree	-98.9968446062024	301	Alternative tree
186	0.70952380952381	117	Alternative tree	-98.9968446062024	301	Alternative tree
187	0.619047619047619	59	Alternative tree	-104.083623761605	376	Alternative tree
188	0.622727272727273	61	Alternative tree	-96.7071071267212	282	Alternative tree
189	0.672727272727273	87	Alternative tree	-96.7071071267212	282	Alternative tree
190	0.672727272727273	87	Alternative tree	-101.793886282124	335	Alternative tree
191	0.64	72	Alternative tree	-60.2551814803954	24	Alternative tree
192	0.695	106	Alternative tree	-77.6387312576838	233	Alternative tree
193	0.71	118	Alternative tree	-77.6387312576838	233	Alternative tree
194	0.64	72	Alternative tree	-77.6387312576838	233	Alternative tree
195	0.71	119	Alternative tree	-77.6387312576838	233	Alternative tree
196	0.71	118	Alternative tree	-77.6387312576838	233	Alternative tree
197	0.705	114	Alternative tree	-77.6387312576838	233	Alternative tree
198	0.64	72	Alternative tree	-63.6778997647263	55	Alternative tree
199	0.64	72	Alternative tree	-72.8204812940995	180	Alternative tree
200	0.7	109	Alternative tree	-64.9742567749395	74	Alternative tree
201	0.576190476190476	39	Alternative tree	-67.8326163813641	110	Alternative tree
202	0.657142857142857	79	Alternative tree	-62.6845192954583	46	Alternative tree
203	0.519047619047619	15	Alternative tree	-96.3030856733602	278	Alternative tree
204	0.609523809523809	53	Alternative tree	-96.3030856733602	278	Alternative tree
205	0.552380952380952	27	Alternative tree	-101.389864828763	329	Alternative tree
206	0.878947368421053	213	Alternative tree	-76.856959676987	223	Alternative tree
207	0.894736842105263	218	Alternative tree	-76.856959676987	223	Alternative tree
208	0.821052631578947	191	Alternative tree	-76.856959676987	223	Alternative tree
209	0.894736842105263	218	Alternative tree	-76.856959676987	223	Alternative tree
210	0.894736842105263	218	Alternative tree	-76.856959676987	223	Alternative tree
211	0.889473684210526	217	Alternative tree	-76.856959676987	223	Alternative tree
212	0.821052631578947	191	Alternative tree	-62.8961281840295	48	Alternative tree
213	0.821052631578947	191	Alternative tree	-72.0387097134027	169	Alternative tree
214	0.88421052631579	216	Alternative tree	-64.1924851942427	64	Alternative tree
215	0.835	196	Alternative tree	-67.0508448006673	99	Alternative tree
216	0.74	144	Alternative tree	-61.9027477147615	39	Alternative tree
217	0.725	131	Alternative tree	-95.5213140926634	275	Alternative tree
218	0.78	167	Alternative tree	-95.5213140926634	275	Alternative tree
219	0.685	96	Alternative tree	-100.608093248066	321	Alternative tree
220	0.821052631578947	190	Alternative tree	-75.4614279977337	208	Alternative tree
221	0.835	196	Alternative tree	-70.4735630849982	149	Alternative tree
222	0.74	144	Alternative tree	-65.3254659990924	77	Alternative tree
223	0.725	131	Alternative tree	-98.9440323769943	299	Alternative tree
224	0.78	167	Alternative tree	-98.9440323769943	299	Alternative tree
225	0.685	95	Alternative tree	-104.030811532397	373	Alternative tree
226	0.895	219	Alternative tree	-71.7699200952114	168	Alternative tree
227	0.8	179	Alternative tree	-66.6218230093056	93	Alternative tree
228	0.785	171	Alternative tree	-100.240389387208	317	Alternative tree
229	0.84	199	Alternative tree	-100.240389387208	317	Alternative tree
230	0.745	148	Alternative tree	-105.327168542611	394	Alternative tree
231	0.742857142857143	146	Alternative tree	-97.9506519077263	291	Alternative tree
232	0.795238095238095	177	Alternative tree	-97.9506519077263	291	Alternative tree
233	0.795238095238095	177	Alternative tree	-103.037431063129	356	Alternative tree
234	0.6	51	Alternative tree	-76.3762635656494	218	Alternative tree
235	0.615	58	Alternative tree	-76.3762635656494	218	Alternative tree
236	0.545	24	Alternative tree	-76.3762635656494	218	Alternative tree
237	0.615	58	Alternative tree	-76.3762635656494	218	Alternative tree
238	0.615	58	Alternative tree	-76.3762635656494	218	Alternative tree
239	0.61	54	Alternative tree	-76.3762635656494	218	Alternative tree
240	0.545	24	Alternative tree	-62.4154320726919	44	Alternative tree
241	0.573684210526316	37	Alternative tree	-71.5580136020651	162	Alternative tree
242	0.636842105263158	69	Alternative tree	-63.7117890829051	57	Alternative tree
243	0.51	13	Alternative tree	-66.5701486893297	91	Alternative tree
244	0.595	48	Alternative tree	-61.4220516034239	33	Alternative tree
245	0.45	4	Alternative tree	-95.0406179813258	272	Alternative tree
246	0.545	24	Alternative tree	-95.0406179813258	272	Alternative tree
247	0.485	7	Alternative tree	-100.127397136729	315	Alternative tree
248	0.545	24	Alternative tree	-74.9807318863961	206	Alternative tree
249	0.485714285714286	8	Alternative tree	-69.9928669736607	141	Alternative tree
250	0.566666666666667	32	Alternative tree	-64.8447698877549	71	Alternative tree
251	0.428571428571429	2	Alternative tree	-98.4633362656568	295	Alternative tree
252	0.519047619047619	15	Alternative tree	-98.4633362656568	295	Alternative tree
253	0.461904761904762	5	Alternative tree	-103.55011542106	366	Alternative tree
254	0.57	33	Alternative tree	-71.2892239838739	157	Alternative tree
255	0.655	78	Alternative tree	-66.1411268979681	86	Alternative tree
256	0.51	13	Alternative tree	-99.75969327587	308	Alternative tree
