treeID	sum_condition_error	SCE_ranking	lowest_SCE	edge_probability_score	edge_probability_ranking	highest_edge_probability
1	1.44852941176471	65	Alternative tree	-55.0114291221351	1	Highest edge probability tree
2	1.58823529411765	105	Alternative tree	-81.0290832866304	257	Alternative tree
3	1.17361111111111	13	Alternative tree	-58.9565770529217	7	Alternative tree
4	1.44852941176471	65	Alternative tree	-137.417784905678	502	Alternative tree
5	1.66911764705882	128	Alternative tree	-137.417784905678	502	Alternative tree
6	1.74264705882353	147	Alternative tree	-63.5758566362176	32	Alternative tree
7	1.22916666666667	21	Alternative tree	-72.5145697326617	132	Alternative tree
8	1.30147058823529	34	Alternative tree	-98.1640633072771	415	Alternative tree
9	1.75	148	Alternative tree	-57.9177505865947	4	Alternative tree
10	1.5390625	92	Alternative tree	-79.6351920964628	235	Alternative tree
11	1.6484375	121	Alternative tree	-79.6351920964628	235	Alternative tree
12	1.609375	112	Alternative tree	-79.6351920964628	235	Alternative tree
13	1.6875	133	Alternative tree	-58.1635709002776	5	Alternative tree
14	1.32352941176471	39	Alternative tree	-58.6754306935703	6	Alternative tree
15	1.671875	129	Alternative tree	-56.9289567402159	2	Alternative tree
16	1.33088235294118	41	Alternative tree	-60.3679633120243	11	Alternative tree
17	1.56617647058824	98	Alternative tree	-57.8748115586635	3	Alternative tree
18	1.17361111111111	13	Alternative tree	-141.362932836464	503	Alternative tree
19	1.38194444444444	49	Alternative tree	-141.362932836464	503	Alternative tree
20	1.45138888888889	66	Alternative tree	-67.5210045670042	73	Alternative tree
21	1.24305555555556	24	Alternative tree	-71.3847601435178	115	Alternative tree
22	1.13194444444444	11	Alternative tree	-102.109211238064	452	Alternative tree
23	1.03472222222222	4	Alternative tree	-102.109211238064	452	Alternative tree
24	1.03472222222222	4	Alternative tree	-102.109211238064	452	Alternative tree
25	1.17361111111111	13	Alternative tree	-102.109211238064	452	Alternative tree
26	1.44117647058824	63	Alternative tree	-61.8628985173814	21	Alternative tree
27	1.24264705882353	23	Alternative tree	-83.5803400272494	287	Alternative tree
28	1.34558823529412	42	Alternative tree	-83.5803400272494	287	Alternative tree
29	1.30882352941176	36	Alternative tree	-83.5803400272494	287	Alternative tree
30	1.38235294117647	50	Alternative tree	-62.1087188310643	22	Alternative tree
31	1.05555555555556	5	Alternative tree	-62.620578624357	24	Alternative tree
32	1.36764705882353	47	Alternative tree	-60.8741046710025	14	Alternative tree
33	1.0625	6	Alternative tree	-64.313111242811	39	Alternative tree
34	1.28472222222222	31	Alternative tree	-61.8199594894501	19	Alternative tree
35	1.30555555555556	35	Alternative tree	-84.9742312174171	307	Alternative tree
36	1.40441176470588	53	Alternative tree	-98.1640633072771	415	Alternative tree
37	1.30147058823529	34	Alternative tree	-98.1640633072771	415	Alternative tree
38	1.44852941176471	65	Alternative tree	-98.1640633072771	415	Alternative tree
39	1.69852941176471	136	Alternative tree	-106.72849082136	481	Alternative tree
40	1.59558823529412	108	Alternative tree	-106.72849082136	481	Alternative tree
41	1.59558823529412	108	Alternative tree	-106.72849082136	481	Alternative tree
42	1.74264705882353	147	Alternative tree	-106.72849082136	481	Alternative tree
43	2.0625	217	Alternative tree	-66.4821781006772	59	Alternative tree
44	1.8515625	172	Alternative tree	-88.1996196105453	341	Alternative tree
45	1.8515625	172	Alternative tree	-88.1996196105453	341	Alternative tree
46	1.921875	190	Alternative tree	-88.1996196105453	341	Alternative tree
47	2	208	Alternative tree	-66.7279984143601	63	Alternative tree
48	1.71875	141	Alternative tree	-67.2398582076528	69	Alternative tree
49	1.984375	205	Alternative tree	-65.4933842542983	50	Alternative tree
50	1.33088235294118	41	Alternative tree	-68.9323908261068	86	Alternative tree
51	1.56617647058824	98	Alternative tree	-66.4392390727459	58	Alternative tree
52	1.88235294117647	179	Alternative tree	-89.5935108007129	351	Alternative tree
53	1.6328125	117	Alternative tree	-69.3571398308119	91	Alternative tree
54	1.5	81	Alternative tree	-75.4208911971213	171	Alternative tree
55	1.30147058823529	34	Alternative tree	-97.1383327069894	407	Alternative tree
56	1.40441176470588	53	Alternative tree	-97.1383327069894	407	Alternative tree
57	1.36764705882353	47	Alternative tree	-97.1383327069894	407	Alternative tree
58	1.44117647058824	63	Alternative tree	-75.6667115108042	175	Alternative tree
59	1.11111111111111	9	Alternative tree	-76.1785713040969	186	Alternative tree
60	1.42647058823529	61	Alternative tree	-74.4320973507425	156	Alternative tree
61	1.28676470588235	32	Alternative tree	-77.8711039225509	209	Alternative tree
62	1.52205882352941	87	Alternative tree	-75.3779521691901	169	Alternative tree
63	1.36111111111111	45	Alternative tree	-98.5322238971571	423	Alternative tree
64	1.86666666666667	176	Alternative tree	-82.5415135609224	274	Alternative tree
65	1.98333333333333	204	Alternative tree	-82.5415135609224	274	Alternative tree
66	1.94166666666667	195	Alternative tree	-82.5415135609224	274	Alternative tree
67	2.025	212	Alternative tree	-61.0698923647372	16	Alternative tree
68	1.6171875	114	Alternative tree	-61.5817521580299	18	Alternative tree
69	2.00833333333333	209	Alternative tree	-59.8352782046755	9	Alternative tree
70	1.625	115	Alternative tree	-63.2742847764839	28	Alternative tree
71	1.875	178	Alternative tree	-60.7811330231231	13	Alternative tree
72	1.8984375	184	Alternative tree	-83.93540475109	293	Alternative tree
73	1.5546875	96	Alternative tree	-61.8275724717128	20	Alternative tree
74	1.94166666666667	195	Alternative tree	-60.0810985183584	10	Alternative tree
75	1.4140625	57	Alternative tree	-63.5201050901668	31	Alternative tree
76	1.6640625	127	Alternative tree	-61.026953336806	15	Alternative tree
77	1.8359375	169	Alternative tree	-84.1812250647729	298	Alternative tree
78	1.5390625	92	Alternative tree	-60.5929583116511	12	Alternative tree
79	1.20588235294118	20	Alternative tree	-64.0319648834595	38	Alternative tree
80	1.57352941176471	100	Alternative tree	-61.5388131300987	17	Alternative tree
81	1.46323529411765	68	Alternative tree	-84.6930848580656	303	Alternative tree
82	1.546875	94	Alternative tree	-62.2854909301051	23	Alternative tree
83	1.796875	158	Alternative tree	-59.7923391767442	8	Alternative tree
84	1.8203125	165	Alternative tree	-82.9466109047112	280	Alternative tree
85	1.70588235294118	138	Alternative tree	-83.8924657231588	291	Alternative tree
86	1.52083333333333	86	Alternative tree	-79.9491876576002	242	Alternative tree
87	1.40972222222222	55	Alternative tree	-110.673638752146	499	Alternative tree
88	1.3125	37	Alternative tree	-110.673638752146	499	Alternative tree
89	1.3125	37	Alternative tree	-110.673638752146	499	Alternative tree
90	1.45138888888889	66	Alternative tree	-110.673638752146	499	Alternative tree
