CRUK0733_SU_FLN1	CRUK0733_SU_T1.R1	CRUK0733_SU_T1.R2	CRUK0733_SU_T1.R3	CRUK0733_SU_T1.R4	CRUK0733_SU_T1.R5	CRUK0733_SU_T1.R6	clusterID	treeID
0	0	0	0	0	34	42	1	1
0	0	0	0	0	0	17	2	1
0	0	0	0	0	0	0	3	1
0	0	0	25	0	0	0	4	1
100	0	0	0	0	0	0	5	1
0	0	46	0	0	0	0	6	1
0	0	0	0	0	40	0	7	1
0	0	0	0	100	0	0	8	1
0	100	14.1851851851852	0	0	0	17	9	1
0	0	0	0	0	10.8493150684932	11	10	1
0	0	0	0	0	0	13	11	1
0	0	39.8148148148148	75	0	15.1506849315069	0	12	1
0	0	0	0	0	34	12	1	2
0	0	0	0	0	0	17	2	2
0	0	0	0	0	0	0	3	2
0	0	0	25	0	0	0	4	2
100	0	0	0	0	0	0	5	2
0	0	46	0	0	0	0	6	2
0	0	0	0	0	40	0	7	2
0	0	0	0	100	0	0	8	2
0	100	14.1851851851852	0	0	0	47	9	2
0	0	0	0	0	10.8493150684932	11	10	2
0	0	0	0	0	0	13	11	2
0	0	39.8148148148148	75	0	15.1506849315069	0	12	2
