CRUK0510_SU_FLN1	CRUK0510_SU_T1.R1	CRUK0510_SU_T1.R2	CRUK0510_SU_T1.R3	CRUK0510_SU_T1.R4	CRUK0510_SU_T1.R5	clusterID	treeID
32	24	0	0	0	0	1	1
0	0	0	0	0	0	2	1
0	0	0	15	0	0	3	1
0	0	0	0	0	45	4	1
0	0	0	0	0	21	5	1
0	0	0	0	12	0	6	1
0	0	0	0	6	0	8	1
0	0	0	0	17	0	10	1
0	24	0	0	0	0	11	1
11.1739130434783	0	0	0	0	0	13	1
0	0	18	0	0	0	14	1
0	20.2666666666667	0	0	0	0	15	1
0	0	0	0	58	0	17	1
0	0	0	0	0	34	18	1
0	0	0	30	0	0	20	1
25	0	0	0	0	0	21	1
0	31.7333333333333	0	0	0	0	24	1
0	0	45	0	0	0	26	1
0	0	0	0	7	0	27	1
0	0	0	34	0	0	30	1
7	0	0	0	0	0	31	1
13	0	0	0	0	0	33	1
0	0	0	21	0	0	36	1
11.8260869565217	0	0	0	0	0	37	1
0	0	23	0	0	0	38	1
0	0	14	0	0	0	39	1
32	24	0	0	0	0	1	6
0	0	0	0	0	0	2	6
0	0	0	15	0	0	3	6
0	0	0	0	0	45	4	6
0	0	0	0	0	21	5	6
0	0	0	0	12	0	6	6
0	0	0	0	42	0	8	6
0	0	0	0	17	0	10	6
0	24	0	0	0	0	11	6
11.1739130434783	0	0	0	0	0	13	6
0	0	18	0	0	0	14	6
0	20.2666666666667	0	0	0	0	15	6
0	0	0	0	22	0	17	6
0	0	0	0	0	34	18	6
0	0	0	30	0	0	20	6
25	0	0	0	0	0	21	6
0	31.7333333333333	0	0	0	0	24	6
0	0	45	0	0	0	26	6
0	0	0	0	7	0	27	6
0	0	0	34	0	0	30	6
7	0	0	0	0	0	31	6
13	0	0	0	0	0	33	6
0	0	0	21	0	0	36	6
11.8260869565217	0	0	0	0	0	37	6
0	0	23	0	0	0	38	6
0	0	14	0	0	0	39	6
