### 7 trees
# tree 1
7	2
18	5
16	6
1	7
18	8
13	12
15	13
18	15
13	16
5	17
2	18
6	4
8	9
12	10
17	11
2	14
# tree 2
1	7
2	18
13	16
15	13
18	15
18	5
7	2
18	8
13	12
5	17
16	6
8	9
12	10
17	11
2	14
16	4
# tree 3
1	7
2	18
13	16
15	13
18	15
18	5
7	2
16	6
13	12
5	17
18	8
6	4
12	10
17	11
2	14
18	9
# tree 4
1	7
2	18
13	16
15	13
18	15
18	5
7	2
16	6
13	12
5	17
18	8
6	4
12	10
17	11
2	14
13	9
# tree 5
1	7
2	18
13	16
15	13
18	15
18	5
7	2
16	6
18	8
5	17
13	12
6	4
8	9
17	11
2	14
13	10
# tree 6
1	7
2	18
13	16
15	13
18	15
18	5
7	2
16	6
18	8
5	17
13	12
6	4
8	9
17	11
2	14
15	10
# tree 7
7	2
15	13
18	15
2	18
1	7
13	16
18	5
16	6
13	12
5	17
18	8
6	4
12	10
17	11
2	14
15	9
