CRUK0412_SU_FLN4	CRUK0412_SU_T1.R1	CRUK0412_SU_T1.R2	CRUK0412_SU_T1.R3	CRUK0412_SU_T1.R4	CRUK0412_SU_T1.R5	clusterID	treeID
0	0	0	0	10.9090909090909	10	1	1
0	0	0	0	0	0	2	1
100	0	0	0	0	0	3	1
0	0	0	0	0	3	4	1
0	51	50	66	0	0	5	1
0	0	0	0	9.09090909090909	0	6	1
0	0	0	0	24.1071428571429	0	7	1
0	0	0	0	20	0	9	1
0	0	0	0	15	0	10	1
0	49	50	34	0	10	11	1
0	0	0	0	0	71	12	1
0	0	0	0	20.8928571428571	6	13	1
0	0	0	0	10.9090909090909	10	1	3
0	0	0	0	0	0	2	3
100	0	0	0	0	0	3	3
0	0	0	0	0	3	4	3
0	51	50	66	0	0	5	3
0	0	0	0	9.09090909090909	0	6	3
0	0	0	0	44.1071428571429	0	7	3
0	0	0	0	20	0	9	3
0	0	0	0	15	0	10	3
0	49	50	34	0	10	11	3
0	0	0	0	0	71	12	3
0	0	0	0	0.892857142857142	6	13	3
