CRUK0418_SU_FLN1	CRUK0418_SU_T1.R1	CRUK0418_SU_T1.R2	CRUK0418_SU_T1.R3	CRUK0418_SU_T1.R4	CRUK0418_SU_T1.R5	clusterID	treeID
0	0	0	0	9	0	1	1
0	0	0	14	0	0	2	1
0	0	0	0	0	14	3	1
0	0	30.1879182492313	0	0	0	4	1
0	0	0	0	11	0	5	1
0	34	0	0	0	0	6	1
0	0	0	0	0	26	7	1
0	0	29	0	0	0	8	1
0	23	0	0	0	0	9	1
71	0	0	0	0	0	10	1
0	0	0	15.5769230769231	0	0	11	1
0	1	0	0	0	0	12	1
0	0	0	19	0	0	13	1
0	0	0	0	0	0	14	1
0	0	0	0	0	22	15	1
0	0	0	0	1	7.74311926605505	16	1
0	0	0	0	14	0	17	1
29	0	0	0	0	0	18	1
0	0	0	0	15	0	20	1
0	0	0	27	7	0	22	1
0	0	0	0	2.95652173913044	0	25	1
0	0	0	16	0	0	27	1
0	0	15.3734852595406	0	14.0434782608696	0	28	1
0	0	0	8.42307692307692	0	0	29	1
0	0	0	0	0	0	32	1
0	29	0	0	0	0	34	1
0	0	0	0	0	0	35	1
0	0	0	0	0	22	37	1
0	0	0	0	0	8.25688073394495	41	1
0	0	0	0	16	0	45	1
0	13	0	0	0	0	62	1
0	0	0	0	10	0	67	1
0	0	25.4385964912281	0	0	0	78	1
