clusterID	truncal	treeClust	cpnRemClust	nMuts	SAMPLE	meanCCF	CCF_CI_low	CCF_CI_high	clonality	clone_proportions_default
1	TRUE	FALSE	FALSE	616	CRUK0620_SU_FLN2	99	97.3153184429861	100.4784417213	clonal	0
1	TRUE	FALSE	FALSE	616	CRUK0620_SU_FLN3	100	98.2862796247246	101.604879375567	clonal	0
1	TRUE	FALSE	FALSE	616	CRUK0620_SU_LN1	98	96.5338530080825	99.0791983369471	clonal	0
1	TRUE	FALSE	FALSE	616	CRUK0620_SU_T1.R5	99	98.0098678652884	100.585213200921	clonal	0
1	TRUE	FALSE	FALSE	616	CRUK0620_SU_T2.R1	101	99.2841622276784	101.990878647774	clonal	0
1	TRUE	FALSE	FALSE	616	CRUK0620_SU_T2.R2	100	98.8337231158918	101.438962998991	clonal	0
1	TRUE	FALSE	FALSE	616	CRUK0620_SU_T2.R3	97	95.6724953072743	98.5802819294965	clonal	0
1	TRUE	FALSE	FALSE	616	CRUK0620_SU_T2.R4	101	99.6640406931249	102.776337324611	clonal	0
2	FALSE	FALSE	FALSE	188	CRUK0620_SU_FLN2	0	0	0	absent	0
2	FALSE	FALSE	FALSE	188	CRUK0620_SU_FLN3	0	0	0	absent	0
2	FALSE	FALSE	FALSE	188	CRUK0620_SU_LN1	0	0	0	absent	0
2	FALSE	FALSE	FALSE	188	CRUK0620_SU_T1.R5	0	0	0	absent	0
2	FALSE	FALSE	FALSE	188	CRUK0620_SU_T2.R1	0	0	0	absent	0
2	FALSE	FALSE	FALSE	188	CRUK0620_SU_T2.R2	0	0	0	absent	0
2	FALSE	FALSE	FALSE	188	CRUK0620_SU_T2.R3	95	93.123445988795	97.7680197684839	clonal	47
2	FALSE	FALSE	FALSE	188	CRUK0620_SU_T2.R4	0	0	0	absent	0
3	FALSE	FALSE	FALSE	94	CRUK0620_SU_FLN2	101	97.4864696790557	103.791508197862	clonal	18
3	FALSE	FALSE	FALSE	94	CRUK0620_SU_FLN3	100	95.7542684563778	104.333783452606	clonal	0
3	FALSE	FALSE	FALSE	94	CRUK0620_SU_LN1	99	96.1678520444472	100.946347908581	clonal	0
3	FALSE	FALSE	FALSE	94	CRUK0620_SU_T1.R5	100	96.5399601463433	102.664887296073	clonal	0
3	FALSE	FALSE	FALSE	94	CRUK0620_SU_T2.R1	0	0	0	absent	0
3	FALSE	FALSE	FALSE	94	CRUK0620_SU_T2.R2	0	0	0	absent	0
3	FALSE	FALSE	FALSE	94	CRUK0620_SU_T2.R3	0	0	0	absent	0
3	FALSE	FALSE	FALSE	94	CRUK0620_SU_T2.R4	0	0	0	absent	0
4	FALSE	FALSE	FALSE	73	CRUK0620_SU_FLN2	0	0	0	absent	0
4	FALSE	FALSE	FALSE	73	CRUK0620_SU_FLN3	0	0	0	absent	0
4	FALSE	FALSE	FALSE	73	CRUK0620_SU_LN1	0	0	0	absent	0
4	FALSE	FALSE	FALSE	73	CRUK0620_SU_T1.R5	0	0	0	absent	0
4	FALSE	FALSE	FALSE	73	CRUK0620_SU_T2.R1	96	92.8678425283307	98.5437401111856	clonal	72
4	FALSE	FALSE	FALSE	73	CRUK0620_SU_T2.R2	0	0	0	absent	0
4	FALSE	FALSE	FALSE	73	CRUK0620_SU_T2.R3	0	0	0	absent	0
4	FALSE	FALSE	FALSE	73	CRUK0620_SU_T2.R4	0	0	0	absent	0
5	FALSE	FALSE	FALSE	59	CRUK0620_SU_FLN2	0	0	0	absent	0
5	FALSE	FALSE	FALSE	59	CRUK0620_SU_FLN3	0	0	0	absent	0
5	FALSE	FALSE	FALSE	59	CRUK0620_SU_LN1	0	0	0	absent	0
5	FALSE	FALSE	FALSE	59	CRUK0620_SU_T1.R5	0	0	0	absent	0
5	FALSE	FALSE	FALSE	59	CRUK0620_SU_T2.R1	0	0	0	absent	0
5	FALSE	FALSE	FALSE	59	CRUK0620_SU_T2.R2	0	0	0	absent	0
5	FALSE	FALSE	FALSE	59	CRUK0620_SU_T2.R3	93	87.6722185732749	97.8593060148356	clonal	0
5	FALSE	FALSE	FALSE	59	CRUK0620_SU_T2.R4	92	86.3599864894665	97.59097451458	clonal	100
6	FALSE	FALSE	FALSE	58	CRUK0620_SU_FLN2	0	0	0	absent	0
6	FALSE	FALSE	FALSE	58	CRUK0620_SU_FLN3	0	0	0	absent	0
6	FALSE	FALSE	FALSE	58	CRUK0620_SU_LN1	0	0	0	absent	0
6	FALSE	FALSE	FALSE	58	CRUK0620_SU_T1.R5	0	0	0	absent	0
