sample_id	cluster_id	size	mean	std
brain_metastasis	0	96	0.987055528890631	0.014617203816620458
left_ovary_site_1	0	96	0.0004506895095321293	0.0020745539427366967
righ_pelvic_mass	0	96	0.010213180145382946	0.0014445602643471769
brain_metastasis	1	61	0.9971474635785039	0.005780078373847058
left_ovary_site_1	1	61	0.9976712909711669	0.004995359747573009
righ_pelvic_mass	1	61	0.9971696231620559	0.005923012297177004
brain_metastasis	2	10	0.03814924034812426	0.014536052924415059
left_ovary_site_1	2	10	0.000826603590714546	0.002776189651121599
righ_pelvic_mass	2	10	0.013455690535824204	0.0077267796123653525
brain_metastasis	3	23	0.009670596390956038	0.001802597421929191
left_ovary_site_1	3	23	0.00023796670601056334	0.0015243298778322603
righ_pelvic_mass	3	23	0.6411028984111928	0.062174329247529456
brain_metastasis	4	56	0.009887222862323533	0.0010559762208637454
left_ovary_site_1	4	56	0.9701641986872994	0.024078877551065393
righ_pelvic_mass	4	56	0.010158037479430468	0.0013894230204019966
brain_metastasis	5	1	0.5000000000000003	0.2915475947422644
left_ovary_site_1	5	1	0.5000000000000003	0.2915475947422644
righ_pelvic_mass	5	1	0.5000000000000003	0.2915475947422644
brain_metastasis	6	33	0.009899169026019427	0.0010092100709470156
left_ovary_site_1	6	33	0.980756260693793	0.01845239374169623
righ_pelvic_mass	6	33	0.955885846767943	0.03710761024897188
brain_metastasis	7	26	0.969084838781634	0.029894505851626466
left_ovary_site_1	7	26	0.9681581030343864	0.027867449925666275
righ_pelvic_mass	7	26	0.028806048182019865	0.007532786293598114
brain_metastasis	8	1	0.4262855691620698	0.30049089732419554
left_ovary_site_1	8	1	0.48398542354053403	0.2958436154897482
righ_pelvic_mass	8	1	0.0339399535123036	0.043388270489125
brain_metastasis	9	11	0.5185967678955967	0.056257605596034266
left_ovary_site_1	9	11	0.14877316343079997	0.029399443975397763
righ_pelvic_mass	9	11	0.9853966703748618	0.018259168906002966
brain_metastasis	10	5	0.8553562056015287	0.10493645780325488
left_ovary_site_1	10	5	0.017773784790974606	0.008727160862190355
righ_pelvic_mass	10	5	0.7313631977281212	0.14207799878173982
brain_metastasis	11	1	0.27344958877064607	0.232258170598974
left_ovary_site_1	11	1	0.21540340795734042	0.1953527016208071
righ_pelvic_mass	11	1	0.3464581901160645	0.2652072936007343
brain_metastasis	12	1	0.4179580037619545	0.3078759082766943
left_ovary_site_1	12	1	0.4591831655791215	0.28475447964062706
righ_pelvic_mass	12	1	0.49087047304215176	0.27729669319011885
brain_metastasis	13	1	0.1989196316567717	0.18602411144344955
left_ovary_site_1	13	1	0.04231842951042984	0.046557503660804855
righ_pelvic_mass	13	1	0.3807854215577657	0.27546870288877934
brain_metastasis	14	1	0.5000000000000003	0.2915475947422644
left_ovary_site_1	14	1	0.5000000000000003	0.2915475947422644
righ_pelvic_mass	14	1	0.5000000000000003	0.2915475947422644
