sample_id	cluster_id	size	mean	std
small_bowel_site_1	0	15	0.8803390051742394	0.12455038489134576
omentum_site_1	0	15	0.0023657683968523993	0.004327075075881602
right_ovary_site_1	0	15	0.0028073518768659002	0.004494341496350176
right_ovary_site_3	0	15	1.5368951265025856e-05	0.00039176338620742313
right_ovary_site_2	0	15	3.3915623276305326e-05	0.0005814700116403339
right_ovary_site_4	0	15	1.2702448666268334e-05	0.0003562020862568359
small_bowel_site_1	1	39	0.9635352993221273	0.031367860172028465
omentum_site_1	1	39	0.9694771550699096	0.02620530974638507
right_ovary_site_1	1	39	0.009712355409942279	0.0016714384957112437
right_ovary_site_3	1	39	0.009957987211675299	0.000646849135577808
right_ovary_site_2	1	39	0.0002731373000431794	0.0016299598267010076
right_ovary_site_4	1	39	0.009833845555142228	0.00127826922614524
small_bowel_site_1	2	24	0.0005222193538055854	0.002224926067040314
omentum_site_1	2	24	0.003718133397089493	0.004833554872179055
right_ovary_site_1	2	24	0.01000066642730483	0.00011627266023098712
right_ovary_site_3	2	24	9.247427011866357e-05	0.0009571792025191079
right_ovary_site_2	2	24	4.71953234963623e-05	0.0006853660841323114
right_ovary_site_4	2	24	0.8942096589642224	0.029084464189688127
small_bowel_site_1	3	5	0.1404409642329885	0.06586948541949807
omentum_site_1	3	5	0.2345016727439222	0.09232680844305485
right_ovary_site_1	3	5	0.089673899121017	0.030210512920674986
right_ovary_site_3	3	5	0.10456448753440149	0.03401000388773423
right_ovary_site_2	3	5	0.162123788606906	0.04326678615563018
right_ovary_site_4	3	5	0.10307794262795238	0.03363042932038036
small_bowel_site_1	4	49	0.9900055763562166	0.012019252410231586
omentum_site_1	4	49	0.9935261887231753	0.009294373421830655
right_ovary_site_1	4	49	0.9981681697514659	0.0042851737039022115
right_ovary_site_3	4	49	0.9936322998248934	0.008625199018370373
right_ovary_site_2	4	49	0.9978304848347226	0.004837809531867599
right_ovary_site_4	4	49	0.9920229927119253	0.00950944763120612
small_bowel_site_1	5	1	0.27380545458860006	0.24107795012834968
omentum_site_1	5	1	0.37556750469845346	0.27706916828389366
right_ovary_site_1	5	1	0.23864938347280362	0.21000139949117202
right_ovary_site_3	5	1	0.24212485440661005	0.2136316089784255
right_ovary_site_2	5	1	0.39785978445163855	0.2782445247701669
right_ovary_site_4	5	1	0.3387746970276007	0.260343385840229
small_bowel_site_1	6	15	0.005464845174947665	0.005000306991920943
omentum_site_1	6	15	0.00785041769244413	0.004242444646940889
right_ovary_site_1	6	15	0.006151004384846291	0.004865988109698073
right_ovary_site_3	6	15	0.008756840404775097	0.0033067985231099634
right_ovary_site_2	6	15	0.2878729937730803	0.026770591544406808
right_ovary_site_4	6	15	0.002784070974919063	0.004482648861032059
small_bowel_site_1	7	6	0.9005866991642144	0.08151403714425087
omentum_site_1	7	6	0.9215618671126848	0.06651625074548434
right_ovary_site_1	7	6	0.94337703172406	0.04427902765865702
right_ovary_site_3	7	6	0.041274854309772575	0.012711189822181324
right_ovary_site_2	7	6	0.7377822764055403	0.06237311784146034
right_ovary_site_4	7	6	0.9616224983725047	0.03646642882069452
small_bowel_site_1	8	14	0.0011331142998298616	0.003173188868958008
omentum_site_1	8	14	0.0033068408842703645	0.00472014596397447
right_ovary_site_1	8	14	0.010038420649224921	0.0006487202011098087
right_ovary_site_3	8	14	0.8806915964233483	0.0367697214706488
right_ovary_site_2	8	14	0.009909069810952579	0.0012624289976698897
right_ovary_site_4	8	14	0.010037879996519613	0.0008082671543638468
small_bowel_site_1	9	11	0.007598952628906628	0.005080586968653595
omentum_site_1	9	11	0.005560617913122266	0.005248523208595002
right_ovary_site_1	9	11	0.9813790141354733	0.020223224908324716
right_ovary_site_3	9	11	0.979405910428304	0.022291531282107833
right_ovary_site_2	9	11	0.9554522292591665	0.03650625033218666
right_ovary_site_4	9	11	0.9798632881438787	0.02173275020185606
small_bowel_site_1	10	39	0.009959145949471795	0.0006486841790355254
omentum_site_1	10	39	1.3012236173315945e-05	0.00036049010260387075
right_ovary_site_1	10	39	0.8550734624405828	0.02011025710817072
right_ovary_site_3	10	39	0.009985971874717666	0.0003743027283368624
right_ovary_site_2	10	39	0.009890409008593736	0.0010411160066909804
right_ovary_site_4	10	39	0.00997342777157568	0.0005148535221313222
small_bowel_site_1	11	9	0.9381873761515044	0.0585281366786271
omentum_site_1	11	9	0.9308409475124015	0.057472184807298356
right_ovary_site_1	11	9	0.9818384394917954	0.019652357320190446
right_ovary_site_3	11	9	0.9655927715959209	0.030826560902025627
right_ovary_site_2	11	9	0.8961887533155763	0.044355554016248244
right_ovary_site_4	11	9	0.014165313482408246	0.005511664873386702
small_bowel_site_1	12	1	0.7831160020177084	0.11456059819007551
omentum_site_1	12	1	0.6804673821918943	0.1770636722059695
right_ovary_site_1	12	1	0.5705893773878973	0.10850970069851171
right_ovary_site_3	12	1	0.9199361828273475	0.07130542867121706
right_ovary_site_2	12	1	0.7514076514330913	0.13671049691882878
right_ovary_site_4	12	1	0.4815200179518814	0.10650663430327735
small_bowel_site_1	13	7	0.008861744024458381	0.005274319044037699
omentum_site_1	13	7	0.4174921235046041	0.09426947566840908
right_ovary_site_1	13	7	9.542592039916735e-05	0.0009727339391206517
right_ovary_site_3	13	7	0.00014927886389305302	0.0012143610089825425
right_ovary_site_2	13	7	6.51620046790193e-05	0.0008056968577317171
right_ovary_site_4	13	7	0.00011077860391448098	0.0010477323206741602
small_bowel_site_1	14	8	0.004855327463183916	0.005275592143106757
omentum_site_1	14	8	0.01047116914919051	0.0039043047257882116
right_ovary_site_1	14	8	0.9658695912853047	0.0304954453541258
right_ovary_site_3	14	8	0.9160561230860633	0.053170636962204976
right_ovary_site_2	14	8	0.9784733141364186	0.023029672181661562
right_ovary_site_4	14	8	0.015616009319340322	0.006406441322990443
small_bowel_site_1	15	1	0.5000000000000003	0.2915475947422644
omentum_site_1	15	1	0.5000000000000003	0.2915475947422644
right_ovary_site_1	15	1	0.5000000000000003	0.2915475947422644
right_ovary_site_3	15	1	0.5000000000000003	0.2915475947422644
right_ovary_site_2	15	1	0.30445834338028044	0.23856212337019736
right_ovary_site_4	15	1	0.5000000000000003	0.2915475947422644
