sample_id	cluster_id	size	mean	std
right_ovary_site_1	0	102	0.9996237510099906	0.0019592057013666725
right_ovary_site_3	0	102	0.9955780480062516	0.007522444434905079
right_ovary_site_2	0	102	0.9997166095941388	0.0016878730783436051
right_ovary_site_4	0	102	0.9989885554791724	0.0032895813187139708
right_ovary_site_1	1	91	6.75878710437898e-11	8.221184256965524e-07
right_ovary_site_3	1	91	6.818762376726317e-07	8.257298239468336e-05
right_ovary_site_2	1	91	0.9877867797190529	0.01178630711011749
right_ovary_site_4	1	91	5.1601494257630364e-05	0.0007164860280333507
right_ovary_site_1	2	52	0.9927530709928463	0.010246541060828595
right_ovary_site_3	2	52	0.9728121890597851	0.025419896346097526
right_ovary_site_2	2	52	0.027340455727711755	0.004640802583473281
right_ovary_site_4	2	52	0.9930606905802627	0.010191339487368663
right_ovary_site_1	3	7	0.011013506825531812	0.004484778417643455
right_ovary_site_3	3	7	0.004020201302020308	0.005501134633261138
right_ovary_site_2	3	7	0.01108033098254261	0.003212223885469731
right_ovary_site_4	3	7	0.0013119984714637604	0.0035072381347685646
right_ovary_site_1	4	4	0.6194634581651393	0.05988923508094104
right_ovary_site_3	4	4	0.6806427222115967	0.14921662120717732
right_ovary_site_2	4	4	0.6994038685698987	0.047068572198915574
right_ovary_site_4	4	4	0.7628480451057076	0.0951081442660489
right_ovary_site_1	5	3	0.006151619883018785	0.006138550869334787
right_ovary_site_3	5	3	0.504776644801348	0.07694636242107263
right_ovary_site_2	5	3	0.0027472315454612735	0.00456259747138243
right_ovary_site_4	5	3	0.05999043861206752	0.024813435252583758
right_ovary_site_1	6	3	0.42078061552853313	0.07217827306713692
right_ovary_site_3	6	3	0.003040032055333406	0.00583712261864615
right_ovary_site_2	6	3	0.001636015974584881	0.004052279225552254
right_ovary_site_4	6	3	0.005148432301567581	0.007244002975203301
right_ovary_site_1	7	4	0.2615810641712078	0.05997679447873371
right_ovary_site_3	7	4	0.010595652105965412	0.010100255153330304
right_ovary_site_2	7	4	0.0014376735438026223	0.003697776208879561
right_ovary_site_4	7	4	0.40382844234434434	0.0792040539313828
right_ovary_site_1	8	2	0.01251965227414425	0.0095793151973301
right_ovary_site_3	8	2	0.6151684513596829	0.16605868049281367
right_ovary_site_2	8	2	0.7533793336550864	0.1711599350717463
right_ovary_site_4	8	2	0.06808917893563418	0.03164359339785182
right_ovary_site_1	9	3	0.9476287572256141	0.05830706200866381
right_ovary_site_3	9	3	0.021067551064737643	0.015256403746830472
right_ovary_site_2	9	3	0.0654069853910683	0.021080047480009384
right_ovary_site_4	9	3	0.9352856910294289	0.06867111952226546
right_ovary_site_1	10	1	0.5000000000000003	0.2915475947422644
right_ovary_site_3	10	1	0.42244952491305465	0.2874811881850513
right_ovary_site_2	10	1	0.38691456856310485	0.29255873666150317
right_ovary_site_4	10	1	0.40734338386218605	0.28737766202062986
right_ovary_site_1	11	1	0.37997627577882154	0.2748214709785896
right_ovary_site_3	11	1	0.6862551576382115	0.22129401094172713
right_ovary_site_2	11	1	0.3665652702540504	0.2697170881229807
right_ovary_site_4	11	1	0.38750347844627986	0.2772568447226721
