6 #anatomical sites
7 #samples
30 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var
0	P_0	0	P	0	0	85	105
0	P_0	0	P	1	1	154	43
0	P_0	0	P	2	2	205	32
0	P_0	0	P	3	4	199	20
0	P_0	0	P	4	5	143	7
0	P_0	0	P	5	6	222	0
0	P_0	0	P	6	7	230	0
0	P_0	0	P	7	8	190	0
0	P_0	0	P	8	9	181	0
0	P_0	0	P	9	10	197	0
0	P_0	0	P	10	11	191	1
0	P_0	0	P	11	12	188	0
0	P_0	0	P	12	13	199	1
0	P_0	0	P	13	14	232	0
0	P_0	0	P	14	15	209	1
0	P_0	0	P	15	16	195	0
0	P_0	0	P	16	17	216	0
0	P_0	0	P	17	18	204	1
0	P_0	0	P	18	22	203	0
0	P_0	0	P	19	23	188	0
0	P_0	0	P	20	24	198	1
0	P_0	0	P	21	25	200	0
0	P_0	0	P	22	26	203	0
0	P_0	0	P	23	27	203	0
0	P_0	0	P	24	29	199	0
0	P_0	0	P	25	30	223	1
0	P_0	0	P	26	34	198	1
0	P_0	0	P	27	36	200	0
0	P_0	0	P	28	37	208	0
0	P_0	0	P	29	39	218	0
1	P_1	0	P	0	0	97	105
1	P_1	0	P	1	1	141	42
1	P_1	0	P	2	2	155	30
1	P_1	0	P	3	4	182	0
1	P_1	0	P	4	5	208	1
1	P_1	0	P	5	6	197	0
1	P_1	0	P	6	7	183	2
1	P_1	0	P	7	8	193	0
1	P_1	0	P	8	9	209	0
1	P_1	0	P	9	10	217	2
1	P_1	0	P	10	11	222	0
1	P_1	0	P	11	12	202	0
1	P_1	0	P	12	13	202	0
1	P_1	0	P	13	14	216	0
1	P_1	0	P	14	15	177	0
1	P_1	0	P	15	16	185	0
1	P_1	0	P	16	17	197	1
1	P_1	0	P	17	18	211	1
1	P_1	0	P	18	22	200	0
1	P_1	0	P	19	23	197	0
1	P_1	0	P	20	24	210	0
1	P_1	0	P	21	25	211	0
1	P_1	0	P	22	26	192	0
1	P_1	0	P	23	27	173	0
1	P_1	0	P	24	29	216	0
1	P_1	0	P	25	30	211	0
1	P_1	0	P	26	34	208	0
1	P_1	0	P	27	36	200	0
1	P_1	0	P	28	37	195	0
1	P_1	0	P	29	39	208	1
2	M1_0	1	M1	0	0	106	95
2	M1_0	1	M1	1	1	208	0
2	M1_0	1	M1	2	2	207	0
2	M1_0	1	M1	3	4	109	106
2	M1_0	1	M1	4	5	196	0
2	M1_0	1	M1	5	6	95	96
2	M1_0	1	M1	6	7	112	89
2	M1_0	1	M1	7	8	99	93
2	M1_0	1	M1	8	9	66	122
2	M1_0	1	M1	9	10	198	0
2	M1_0	1	M1	10	11	209	0
2	M1_0	1	M1	11	12	103	106
2	M1_0	1	M1	12	13	104	100
2	M1_0	1	M1	13	14	114	115
2	M1_0	1	M1	14	15	182	0
2	M1_0	1	M1	15	16	206	0
2	M1_0	1	M1	16	17	188	0
2	M1_0	1	M1	17	18	213	0
2	M1_0	1	M1	18	22	122	97
2	M1_0	1	M1	19	23	207	1
2	M1_0	1	M1	20	24	202	1
2	M1_0	1	M1	21	25	199	0
2	M1_0	1	M1	22	26	221	1
2	M1_0	1	M1	23	27	189	0
2	M1_0	1	M1	24	29	190	0
2	M1_0	1	M1	25	30	199	0
2	M1_0	1	M1	26	34	206	0
2	M1_0	1	M1	27	36	191	0
2	M1_0	1	M1	28	37	193	0
2	M1_0	1	M1	29	39	219	0
3	M2_0	2	M2	0	0	77	113
3	M2_0	2	M2	1	1	117	94
3	M2_0	2	M2	2	2	195	1
3	M2_0	2	M2	3	4	205	0
3	M2_0	2	M2	4	5	214	0
3	M2_0	2	M2	5	6	190	0
3	M2_0	2	M2	6	7	193	0
3	M2_0	2	M2	7	8	214	0
3	M2_0	2	M2	8	9	182	1
3	M2_0	2	M2	9	10	83	80
3	M2_0	2	M2	10	11	106	92
3	M2_0	2	M2	11	12	203	0
3	M2_0	2	M2	12	13	198	1
3	M2_0	2	M2	13	14	206	0
