5 #anatomical sites
6 #samples
36 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var
0	P_0	0	P	0	0	117	114
0	P_0	0	P	1	1	149	53
0	P_0	0	P	2	2	159	35
0	P_0	0	P	3	4	210	0
0	P_0	0	P	4	5	175	12
0	P_0	0	P	5	6	210	0
0	P_0	0	P	6	7	209	0
0	P_0	0	P	7	8	198	0
0	P_0	0	P	8	9	186	0
0	P_0	0	P	9	10	204	2
0	P_0	0	P	10	11	182	0
0	P_0	0	P	11	12	175	0
0	P_0	0	P	12	13	212	0
0	P_0	0	P	13	14	216	0
0	P_0	0	P	14	15	233	0
0	P_0	0	P	15	16	185	0
0	P_0	0	P	16	17	207	1
0	P_0	0	P	17	18	202	0
0	P_0	0	P	18	19	201	0
0	P_0	0	P	19	20	197	1
0	P_0	0	P	20	21	203	0
0	P_0	0	P	21	22	180	0
0	P_0	0	P	22	24	188	1
0	P_0	0	P	23	25	170	0
0	P_0	0	P	24	31	194	0
0	P_0	0	P	25	32	202	0
0	P_0	0	P	26	33	221	0
0	P_0	0	P	27	36	217	0
0	P_0	0	P	28	39	214	0
0	P_0	0	P	29	40	204	0
0	P_0	0	P	30	41	215	0
0	P_0	0	P	31	42	198	1
0	P_0	0	P	32	43	202	1
0	P_0	0	P	33	44	196	0
0	P_0	0	P	34	45	201	0
0	P_0	0	P	35	46	174	0
1	P_1	0	P	0	0	104	99
1	P_1	0	P	1	1	103	86
1	P_1	0	P	2	2	213	0
1	P_1	0	P	3	4	175	30
1	P_1	0	P	4	5	195	26
1	P_1	0	P	5	6	195	0
1	P_1	0	P	6	7	188	1
1	P_1	0	P	7	8	203	0
1	P_1	0	P	8	9	219	0
1	P_1	0	P	9	10	188	1
1	P_1	0	P	10	11	204	1
1	P_1	0	P	11	12	204	1
1	P_1	0	P	12	13	196	0
1	P_1	0	P	13	14	212	0
1	P_1	0	P	14	15	210	0
1	P_1	0	P	15	16	213	0
1	P_1	0	P	16	17	196	0
1	P_1	0	P	17	18	223	0
1	P_1	0	P	18	19	220	0
1	P_1	0	P	19	20	189	0
1	P_1	0	P	20	21	201	0
1	P_1	0	P	21	22	175	0
1	P_1	0	P	22	24	194	0
1	P_1	0	P	23	25	186	0
1	P_1	0	P	24	31	216	0
1	P_1	0	P	25	32	198	1
1	P_1	0	P	26	33	217	0
1	P_1	0	P	27	36	193	0
1	P_1	0	P	28	39	196	0
1	P_1	0	P	29	40	219	0
1	P_1	0	P	30	41	192	0
1	P_1	0	P	31	42	197	0
1	P_1	0	P	32	43	180	0
1	P_1	0	P	33	44	224	0
1	P_1	0	P	34	45	197	0
1	P_1	0	P	35	46	188	0
2	M1_0	1	M1	0	0	110	97
2	M1_0	1	M1	1	1	117	94
2	M1_0	1	M1	2	2	172	0
2	M1_0	1	M1	3	4	176	0
2	M1_0	1	M1	4	5	214	0
2	M1_0	1	M1	5	6	194	0
2	M1_0	1	M1	6	7	198	0
2	M1_0	1	M1	7	8	208	0
2	M1_0	1	M1	8	9	212	1
2	M1_0	1	M1	9	10	186	1
2	M1_0	1	M1	10	11	99	95
2	M1_0	1	M1	11	12	211	0
2	M1_0	1	M1	12	13	100	98
2	M1_0	1	M1	13	14	94	103
2	M1_0	1	M1	14	15	200	1
2	M1_0	1	M1	15	16	190	0
2	M1_0	1	M1	16	17	174	0
2	M1_0	1	M1	17	18	196	0
2	M1_0	1	M1	18	19	84	97
2	M1_0	1	M1	19	20	100	98
2	M1_0	1	M1	20	21	179	2
2	M1_0	1	M1	21	22	200	0
2	M1_0	1	M1	22	24	148	72
2	M1_0	1	M1	23	25	207	0
2	M1_0	1	M1	24	31	182	0
2	M1_0	1	M1	25	32	183	1
2	M1_0	1	M1	26	33	214	0
2	M1_0	1	M1	27	36	189	0
2	M1_0	1	M1	28	39	199	0
2	M1_0	1	M1	29	40	216	0
2	M1_0	1	M1	30	41	202	0
2	M1_0	1	M1	31	42	190	0
2	M1_0	1	M1	32	43	220	0
2	M1_0	1	M1	33	44	194	0
2	M1_0	1	M1	34	45	197	1
2	M1_0	1	M1	35	46	201	0
3	M2_0	2	M2	0	0	80	118
3	M2_0	2	M2	1	1	97	107
3	M2_0	2	M2	2	2	205	0
3	M2_0	2	M2	3	4	192	0
3	M2_0	2	M2	4	5	184	0
3	M2_0	2	M2	5	6	184	1
3	M2_0	2	M2	6	7	85	107
3	M2_0	2	M2	7	8	89	86
3	M2_0	2	M2	8	9	109	97
3	M2_0	2	M2	9	10	202	0
3	M2_0	2	M2	10	11	199	1
3	M2_0	2	M2	11	12	222	0
3	M2_0	2	M2	12	13	194	0
3	M2_0	2	M2	13	14	184	0
3	M2_0	2	M2	14	15	90	108
3	M2_0	2	M2	15	16	110	99
3	M2_0	2	M2	16	17	93	106
3	M2_0	2	M2	17	18	109	110
3	M2_0	2	M2	18	19	213	1
3	M2_0	2	M2	19	20	188	0
3	M2_0	2	M2	20	21	186	0
3	M2_0	2	M2	21	22	88	114
3	M2_0	2	M2	22	24	224	0
3	M2_0	2	M2	23	25	202	0
3	M2_0	2	M2	24	31	198	0
3	M2_0	2	M2	25	32	191	0
3	M2_0	2	M2	26	33	204	0
3	M2_0	2	M2	27	36	187	0
3	M2_0	2	M2	28	39	199	0
3	M2_0	2	M2	29	40	195	1
3	M2_0	2	M2	30	41	207	1
3	M2_0	2	M2	31	42	196	2
3	M2_0	2	M2	32	43	208	0
3	M2_0	2	M2	33	44	200	0
3	M2_0	2	M2	34	45	214	0
3	M2_0	2	M2	35	46	194	0
4	M3_0	3	M3	0	0	117	98
4	M3_0	3	M3	1	1	89	112
4	M3_0	3	M3	2	2	216	0
4	M3_0	3	M3	3	4	188	0
4	M3_0	3	M3	4	5	200	0
4	M3_0	3	M3	5	6	87	96
4	M3_0	3	M3	6	7	201	0
4	M3_0	3	M3	7	8	198	0
4	M3_0	3	M3	8	9	206	0
4	M3_0	3	M3	9	10	99	103
4	M3_0	3	M3	10	11	207	1
4	M3_0	3	M3	11	12	79	110
4	M3_0	3	M3	12	13	196	1
4	M3_0	3	M3	13	14	213	1
4	M3_0	3	M3	14	15	179	0
4	M3_0	3	M3	15	16	220	0
4	M3_0	3	M3	16	17	208	0
4	M3_0	3	M3	17	18	182	0
4	M3_0	3	M3	18	19	207	0
4	M3_0	3	M3	19	20	189	0
4	M3_0	3	M3	20	21	99	91
4	M3_0	3	M3	21	22	198	0
4	M3_0	3	M3	22	24	185	0
4	M3_0	3	M3	23	25	201	1
4	M3_0	3	M3	24	31	203	0
4	M3_0	3	M3	25	32	105	93
4	M3_0	3	M3	26	33	209	0
4	M3_0	3	M3	27	36	189	0
4	M3_0	3	M3	28	39	197	1
4	M3_0	3	M3	29	40	179	0
4	M3_0	3	M3	30	41	222	0
4	M3_0	3	M3	31	42	206	0
4	M3_0	3	M3	32	43	208	0
4	M3_0	3	M3	33	44	184	0
4	M3_0	3	M3	34	45	207	0
4	M3_0	3	M3	35	46	204	1
5	M4_0	4	M4	0	0	108	116
5	M4_0	4	M4	1	1	107	95
5	M4_0	4	M4	2	2	215	0
5	M4_0	4	M4	3	4	197	0
5	M4_0	4	M4	4	5	222	0
5	M4_0	4	M4	5	6	182	0
5	M4_0	4	M4	6	7	101	96
5	M4_0	4	M4	7	8	92	99
5	M4_0	4	M4	8	9	88	94
5	M4_0	4	M4	9	10	187	0
5	M4_0	4	M4	10	11	177	1
5	M4_0	4	M4	11	12	187	0
5	M4_0	4	M4	12	13	217	0
5	M4_0	4	M4	13	14	186	0
5	M4_0	4	M4	14	15	93	115
5	M4_0	4	M4	15	16	95	92
5	M4_0	4	M4	16	17	102	102
5	M4_0	4	M4	17	18	101	100
5	M4_0	4	M4	18	19	204	0
5	M4_0	4	M4	19	20	201	0
5	M4_0	4	M4	20	21	208	0
5	M4_0	4	M4	21	22	88	107
5	M4_0	4	M4	22	24	180	0
5	M4_0	4	M4	23	25	91	111
5	M4_0	4	M4	24	31	93	106
5	M4_0	4	M4	25	32	226	1
5	M4_0	4	M4	26	33	88	112
5	M4_0	4	M4	27	36	102	114
5	M4_0	4	M4	28	39	99	87
5	M4_0	4	M4	29	40	91	87
5	M4_0	4	M4	30	41	179	21
5	M4_0	4	M4	31	42	186	36
5	M4_0	4	M4	32	43	197	21
5	M4_0	4	M4	33	44	173	26
5	M4_0	4	M4	34	45	165	12
5	M4_0	4	M4	35	46	171	30
