11 #anatomical sites
12 #samples
63 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var
0	P_0	0	P	0	0	95	102
0	P_0	0	P	1	1	112	109
0	P_0	0	P	2	2	220	0
0	P_0	0	P	3	4	215	1
0	P_0	0	P	4	5	178	0
0	P_0	0	P	5	6	84	92
0	P_0	0	P	6	7	199	0
0	P_0	0	P	7	12	175	0
0	P_0	0	P	8	13	105	100
0	P_0	0	P	9	15	106	110
0	P_0	0	P	10	17	185	0
0	P_0	0	P	11	18	163	23
0	P_0	0	P	12	19	211	0
0	P_0	0	P	13	20	171	20
0	P_0	0	P	14	21	177	0
0	P_0	0	P	15	24	191	1
0	P_0	0	P	16	25	205	0
0	P_0	0	P	17	26	183	1
0	P_0	0	P	18	27	188	0
0	P_0	0	P	19	28	176	26
0	P_0	0	P	20	29	171	15
0	P_0	0	P	21	30	169	1
0	P_0	0	P	22	31	200	0
0	P_0	0	P	23	32	195	0
0	P_0	0	P	24	33	209	1
0	P_0	0	P	25	34	194	0
0	P_0	0	P	26	35	217	0
0	P_0	0	P	27	37	181	0
0	P_0	0	P	28	38	201	0
0	P_0	0	P	29	39	182	9
0	P_0	0	P	30	40	194	0
0	P_0	0	P	31	41	200	0
0	P_0	0	P	32	42	198	0
0	P_0	0	P	33	44	199	0
0	P_0	0	P	34	45	200	0
0	P_0	0	P	35	47	192	1
0	P_0	0	P	36	48	192	0
0	P_0	0	P	37	49	214	0
0	P_0	0	P	38	51	213	0
0	P_0	0	P	39	52	191	0
0	P_0	0	P	40	53	203	1
0	P_0	0	P	41	54	196	9
0	P_0	0	P	42	55	206	1
0	P_0	0	P	43	57	190	0
0	P_0	0	P	44	59	212	1
0	P_0	0	P	45	60	182	0
0	P_0	0	P	46	61	223	1
0	P_0	0	P	47	62	179	0
0	P_0	0	P	48	63	178	1
0	P_0	0	P	49	64	208	2
0	P_0	0	P	50	68	195	0
0	P_0	0	P	51	70	225	0
0	P_0	0	P	52	71	166	0
0	P_0	0	P	53	74	197	0
0	P_0	0	P	54	75	208	0
0	P_0	0	P	55	76	209	0
0	P_0	0	P	56	77	210	0
0	P_0	0	P	57	78	222	0
0	P_0	0	P	58	79	195	1
0	P_0	0	P	59	82	190	1
0	P_0	0	P	60	83	210	1
0	P_0	0	P	61	85	186	0
0	P_0	0	P	62	86	193	0
1	P_1	0	P	0	0	106	105
1	P_1	0	P	1	1	84	99
1	P_1	0	P	2	2	195	0
1	P_1	0	P	3	4	194	0
1	P_1	0	P	4	5	204	0
1	P_1	0	P	5	6	114	67
1	P_1	0	P	6	7	208	0
1	P_1	0	P	7	12	170	0
1	P_1	0	P	8	13	101	60
1	P_1	0	P	9	15	110	72
1	P_1	0	P	10	17	187	0
1	P_1	0	P	11	18	123	98
1	P_1	0	P	12	19	188	0
1	P_1	0	P	13	20	117	84
1	P_1	0	P	14	21	194	0
1	P_1	0	P	15	24	204	1
1	P_1	0	P	16	25	174	25
1	P_1	0	P	17	26	174	32
1	P_1	0	P	18	27	178	23
1	P_1	0	P	19	28	142	56
1	P_1	0	P	20	29	135	50
1	P_1	0	P	21	30	201	0
1	P_1	0	P	22	31	171	27
1	P_1	0	P	23	32	211	0
1	P_1	0	P	24	33	199	0
1	P_1	0	P	25	34	171	22
1	P_1	0	P	26	35	194	0
1	P_1	0	P	27	37	193	0
1	P_1	0	P	28	38	225	0
1	P_1	0	P	29	39	159	48
1	P_1	0	P	30	40	228	0
1	P_1	0	P	31	41	192	0
1	P_1	0	P	32	42	173	0
1	P_1	0	P	33	44	236	0
1	P_1	0	P	34	45	212	0
1	P_1	0	P	35	47	158	0
1	P_1	0	P	36	48	203	0
1	P_1	0	P	37	49	209	0
1	P_1	0	P	38	51	183	0
1	P_1	0	P	39	52	175	0
1	P_1	0	P	40	53	195	1
1	P_1	0	P	41	54	136	59
1	P_1	0	P	42	55	209	2
1	P_1	0	P	43	57	245	0
1	P_1	0	P	44	59	201	0
1	P_1	0	P	45	60	212	0
1	P_1	0	P	46	61	198	0
1	P_1	0	P	47	62	227	1
1	P_1	0	P	48	63	204	0
1	P_1	0	P	49	64	190	0
1	P_1	0	P	50	68	170	1
1	P_1	0	P	51	70	181	0
1	P_1	0	P	52	71	183	0
1	P_1	0	P	53	74	208	0
1	P_1	0	P	54	75	204	0
1	P_1	0	P	55	76	198	0
1	P_1	0	P	56	77	191	0
1	P_1	0	P	57	78	188	0
1	P_1	0	P	58	79	200	1
1	P_1	0	P	59	82	205	0
1	P_1	0	P	60	83	203	0
1	P_1	0	P	61	85	189	1
1	P_1	0	P	62	86	194	0
2	M1_0	1	M1	0	0	96	103
2	M1_0	1	M1	1	1	133	101
2	M1_0	1	M1	2	2	185	11
2	M1_0	1	M1	3	4	192	15
2	M1_0	1	M1	4	5	184	11
2	M1_0	1	M1	5	6	87	95
2	M1_0	1	M1	6	7	190	13
2	M1_0	1	M1	7	12	188	14
2	M1_0	1	M1	8	13	122	70
2	M1_0	1	M1	9	15	122	94
2	M1_0	1	M1	10	17	107	72
2	M1_0	1	M1	11	18	197	0
2	M1_0	1	M1	12	19	194	1
2	M1_0	1	M1	13	20	198	0
2	M1_0	1	M1	14	21	189	0
2	M1_0	1	M1	15	24	95	92
2	M1_0	1	M1	16	25	227	0
2	M1_0	1	M1	17	26	208	0
2	M1_0	1	M1	18	27	214	0
2	M1_0	1	M1	19	28	208	1
2	M1_0	1	M1	20	29	200	0
2	M1_0	1	M1	21	30	199	0
2	M1_0	1	M1	22	31	203	0
2	M1_0	1	M1	23	32	124	67
2	M1_0	1	M1	24	33	198	1
2	M1_0	1	M1	25	34	191	0
2	M1_0	1	M1	26	35	194	0
2	M1_0	1	M1	27	37	200	0
2	M1_0	1	M1	28	38	191	1
2	M1_0	1	M1	29	39	207	1
2	M1_0	1	M1	30	40	202	0
2	M1_0	1	M1	31	41	158	0
2	M1_0	1	M1	32	42	200	0
2	M1_0	1	M1	33	44	208	1
2	M1_0	1	M1	34	45	123	96
2	M1_0	1	M1	35	47	199	1
2	M1_0	1	M1	36	48	117	96
2	M1_0	1	M1	37	49	224	1
2	M1_0	1	M1	38	51	219	0
2	M1_0	1	M1	39	52	157	71
2	M1_0	1	M1	40	53	199	2
2	M1_0	1	M1	41	54	204	1
2	M1_0	1	M1	42	55	200	0
2	M1_0	1	M1	43	57	207	1
2	M1_0	1	M1	44	59	182	0
2	M1_0	1	M1	45	60	164	22
2	M1_0	1	M1	46	61	218	0
2	M1_0	1	M1	47	62	194	0
2	M1_0	1	M1	48	63	199	1
2	M1_0	1	M1	49	64	219	0
2	M1_0	1	M1	50	68	205	0
2	M1_0	1	M1	51	70	175	0
2	M1_0	1	M1	52	71	198	0
2	M1_0	1	M1	53	74	195	0
2	M1_0	1	M1	54	75	197	0
2	M1_0	1	M1	55	76	220	0
2	M1_0	1	M1	56	77	199	0
2	M1_0	1	M1	57	78	210	2
2	M1_0	1	M1	58	79	179	0
2	M1_0	1	M1	59	82	224	0
2	M1_0	1	M1	60	83	219	0
2	M1_0	1	M1	61	85	214	0
2	M1_0	1	M1	62	86	220	0
3	M2_0	2	M2	0	0	86	79
3	M2_0	2	M2	1	1	103	104
3	M2_0	2	M2	2	2	227	0
3	M2_0	2	M2	3	4	209	0
3	M2_0	2	M2	4	5	211	0
3	M2_0	2	M2	5	6	87	85
3	M2_0	2	M2	6	7	186	0
3	M2_0	2	M2	7	12	175	0
3	M2_0	2	M2	8	13	96	113
3	M2_0	2	M2	9	15	104	95
3	M2_0	2	M2	10	17	206	0
3	M2_0	2	M2	11	18	100	126
3	M2_0	2	M2	12	19	201	0
3	M2_0	2	M2	13	20	91	103
3	M2_0	2	M2	14	21	227	1
3	M2_0	2	M2	15	24	200	0
3	M2_0	2	M2	16	25	170	1
3	M2_0	2	M2	17	26	264	0
3	M2_0	2	M2	18	27	184	0
3	M2_0	2	M2	19	28	123	96
3	M2_0	2	M2	20	29	95	99
3	M2_0	2	M2	21	30	190	0
3	M2_0	2	M2	22	31	169	0
3	M2_0	2	M2	23	32	228	0
3	M2_0	2	M2	24	33	185	1
3	M2_0	2	M2	25	34	207	0
3	M2_0	2	M2	26	35	196	0
3	M2_0	2	M2	27	37	203	0
3	M2_0	2	M2	28	38	193	0
