# 14 out of 14 mutations
2 #trees
13 #edges, tree 1
0 3
0 22
0 1_2_6_7_13_35_43_55_61_62
0 4_5_9_10_11_12_17_19_20_21_24_25_32_34_38_40_45_51_57_58_59_63_64_68_71_72_79_83
3 8_14
3 39_47_65_70
8_14 15
8_14 18_31_33_37
22 23
22 27_36_42
1_2_6_7_13_35_43_55_61_62 86
1_2_6_7_13_35_43_55_61_62 87_91_94_95
39_47_65_70 75_77_78
13 #edges, tree 2
39_47_65_70 75_77_78
1_2_6_7_13_35_43_55_61_62 87_91_94_95
1_2_6_7_13_35_43_55_61_62 86
22 27_36_42
22 23
8_14 18_31_33_37
8_14 15
3 4_5_9_10_11_12_17_19_20_21_24_25_32_34_38_40_45_51_57_58_59_63_64_68_71_72_79_83
3 39_47_65_70
3 8_14
0 1_2_6_7_13_35_43_55_61_62
0 22
0 3
